date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_995,aVWAP_OB_bull_c0_981,aVWAP_OB_bull_c0_974,aVWAP_OB_bull_c0_852,aVWAP_OB_bull_c0_785,aVWAP_OB_bull_c0_686,aVWAP_OB_bull_c0_521,aVWAP_OB_bull_c0_489,aVWAP_OB_bull_c0_470,aVWAP_OB_bull_c0_170,aVWAP_OB_bear_c0_943,aVWAP_OB_bear_c0_927,aVWAP_OB_bear_c0_777,aVWAP_OB_bear_c0_724,aVWAP_OB_bear_c0_245,aVWAP_QQEMOD_bull_dot_c0_900,aVWAP_QQEMOD_bull_dot_c0_927,aVWAP_QQEMOD_bull_dot_c0_943,aVWAP_QQEMOD_bull_dot_c0_967,aVWAP_QQEMOD_bull_dot_c0_1001,aVWAP_QQEMOD_bear_dot_c0_852,aVWAP_QQEMOD_bear_dot_c0_909,aVWAP_QQEMOD_bear_dot_c0_932,aVWAP_QQEMOD_bear_dot_c0_954,aVWAP_QQEMOD_bear_dot_c0_974,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-07-15 00:00:00+00:00,2.8852220733,3.0009849712,2.7613168309,2.7878679542,278394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-16 00:00:00+00:00,2.6639627118,2.9029228222,2.6551123374,2.8940724477,261737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-19 00:00:00+00:00,2.5843093417,2.6374115884,2.4338529759,2.4958055971,359810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-20 00:00:00+00:00,2.6905138352,2.7701672053,2.4958055971,2.6020100906,254992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-21 00:00:00+00:00,2.840970201,2.9604502562,2.8002584785,2.8232694521,159542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-22 00:00:00+00:00,2.7613168309,2.8763716988,2.6905138352,2.840970201,77446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-23 00:00:00+00:00,2.6993642096,2.8232694521,2.6462619629,2.8232694521,229608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-26 00:00:00+00:00,2.7347657075,2.8144190776,2.6506871501,2.6905138352,112394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-27 00:00:00+00:00,2.6639627118,2.7701672053,2.5931597162,2.7701672053,158965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-28 00:00:00+00:00,2.7082145841,2.7701672053,2.6281186953,2.628561214,49315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
