date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1082,aVWAP_OB_bull_c0_814,aVWAP_OB_bull_c0_567,aVWAP_OB_bull_c0_521,aVWAP_OB_bull_c0_489,aVWAP_OB_bull_c0_360,aVWAP_OB_bull_c0_353,aVWAP_OB_bull_c0_339,aVWAP_OB_bull_c0_215,aVWAP_OB_bear_c0_1242,aVWAP_OB_bear_c0_1229,aVWAP_OB_bear_c0_1211,aVWAP_OB_bear_c0_1158,aVWAP_OB_bear_c0_946,aVWAP_OB_bear_c0_674,aVWAP_OB_bear_c0_334,aVWAP_OB_bear_c0_13,aVWAP_QQEMOD_bull_dot_c0_1073,aVWAP_QQEMOD_bull_dot_c0_1096,aVWAP_QQEMOD_bull_dot_c0_1145,aVWAP_QQEMOD_bull_dot_c0_1158,aVWAP_QQEMOD_bull_dot_c0_1211,aVWAP_QQEMOD_bear_dot_c0_1082,aVWAP_QQEMOD_bear_dot_c0_1112,aVWAP_QQEMOD_bear_dot_c0_1155,aVWAP_QQEMOD_bear_dot_c0_1179,aVWAP_QQEMOD_bear_dot_c0_1253,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-05-23 00:00:00+00:00,11.83,12.38,11.745,12.26,4285667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.531663956728629,10.67721984617289,10.090927939601753,8.837919479930433,8.79418726685011,8.63249652388956,7.744485054652143,,,,,,12.54645327348534,,6.696074596774619,,,,,,,,,,,7.37390025040269,6.950076013443147,"rgba(239, 83, 80, 1.0)"
2024-05-24 00:00:00+00:00,11.43,11.95,11.28,11.83,11516755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.531862324053295,10.683707304799274,10.100379407285287,8.848555958549428,8.804860960775796,8.643384483273875,7.75555192919391,,,,,,12.52039505815914,,6.703244005353685,,,,,,,,,,,7.38510800906259,6.956758277877514,"rgba(239, 83, 80, 1.0)"
2024-05-28 00:00:00+00:00,11.72,11.82,11.39,11.55,9147758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.532667005074796,10.689318481045309,10.108259751901585,8.8572244687214,8.813556105983283,8.652240809088449,7.764503856350837,,,,,,12.50248902529558,,6.709028994713843,,,,,,,,,,,7.394158882561646,6.962155845004983,"rgba(239, 83, 80, 1.0)"
2024-05-29 00:00:00+00:00,12.03,12.19,11.56,11.73,5540803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.53438222947661,10.693685312623868,10.113867647915791,8.86298018803267,8.819321641977563,8.658085439584706,7.7703006325151955,,,,,,12.495455415713144,,6.712727206590972,,,,,,,,,,,7.399986616258915,6.965616626066804,"rgba(239, 83, 80, 1.0)"
2024-05-30 00:00:00+00:00,11.84,12.06,11.7899,11.91,7769069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.536580029468325,10.699608750731505,10.121543480404965,8.870935586882782,8.827292160538374,8.666170493448003,7.778342940534806,,,,,,12.485371979665944,,6.717874037104458,,,,,,,,,,,7.408078766138674,6.970431734968712,"rgba(239, 83, 80, 1.0)"
2024-05-31 00:00:00+00:00,11.36,11.83,11.315,11.69,6431754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.536405545833999,10.702865065407314,10.126445378241021,8.876634487881795,8.833014419681247,8.672018736900958,7.784340955197987,,,,,,12.471847398247519,,6.721802826154621,,,,,,,,,,,7.414168427953251,6.974091858314954,"rgba(239, 83, 80, 1.0)"
2024-06-03 00:00:00+00:00,11.43,11.66,11.21,11.56,3941880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.536090806943664,10.704678144179352,10.129284044815089,8.88002442772013,8.836419887237003,8.675504818988925,7.787940064918647,,,,,,12.46316976995462,,6.724173128818374,,,,,,,,,,,7.417829456187559,6.976298334071508,"rgba(239, 83, 80, 1.0)"
2024-06-04 00:00:00+00:00,10.94,11.5,10.87,11.46,4742328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.534506829265704,10.705865022008602,10.131822746990162,8.883565283195255,8.839985954544613,8.679186691932786,7.791869501965829,,,,,,12.44963597638234,,6.726821982964259,,,,,,,,,,,7.421863834759672,6.978753642515979,"rgba(239, 83, 80, 1.0)"
2024-06-05 00:00:00+00:00,11.01,11.045,10.85,10.94,4757216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.532435621697722,10.706646562792141,10.13400411809209,8.886890608525983,8.843339263759546,8.682663858542444,7.795641612773175,,,,,,12.434993195500148,,6.72939407016536,,,,,,,,,,,7.425753933737205,6.9811332055992565,"rgba(239, 83, 80, 1.0)"
2024-06-06 00:00:00+00:00,11.07,11.24,10.9,10.94,3570454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.531169413397679,10.70745678682248,10.13583244337775,8.889500983303009,8.845969183297143,8.685382432778017,7.798557363603897,,,,,,12.424940774944456,,6.731368712164785,,,,,,,,,,,7.428751613933532,6.982962776493575,"rgba(239, 83, 80, 1.0)"
