date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1243,aVWAP_OB_bull_c0_1033,aVWAP_OB_bull_c0_1021,aVWAP_OB_bull_c0_785,aVWAP_OB_bull_c0_722,aVWAP_OB_bull_c0_487,aVWAP_OB_bear_c0_1170,aVWAP_OB_bear_c0_979,aVWAP_OB_bear_c0_776,aVWAP_OB_bear_c0_701,aVWAP_OB_bear_c0_454,aVWAP_OB_bear_c0_97,aVWAP_QQEMOD_bull_dot_c0_1067,aVWAP_QQEMOD_bull_dot_c0_1131,aVWAP_QQEMOD_bull_dot_c0_1170,aVWAP_QQEMOD_bull_dot_c0_1218,aVWAP_QQEMOD_bull_dot_c0_1251,aVWAP_QQEMOD_bear_dot_c0_953,aVWAP_QQEMOD_bear_dot_c0_1123,aVWAP_QQEMOD_bear_dot_c0_1142,aVWAP_QQEMOD_bear_dot_c0_1191,aVWAP_QQEMOD_bear_dot_c0_1235,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2023-09-20 00:00:00+00:00,2.96,3.03,2.96,3.0,60322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.5689452332752887,,,,,2.290388291672084,3.5524086320089836,,,,,,,,,,,2.5689452332752887,3.5524086320089836,#000000
2023-09-21 00:00:00+00:00,3.02,3.07,2.96,2.96,36856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.5730406502097694,,,,,2.293353420551968,3.551956157589155,,,,,,,,,,,2.5730406502097694,3.551956157589155,#000000
2023-09-22 00:00:00+00:00,2.99,3.02,2.95,2.95,36819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.5767861630231694,,,,,2.2961696372283242,3.5514796094313006,,,,,,,,,,,2.5767861630231694,3.5514796094313006,#000000
2023-09-25 00:00:00+00:00,2.96,3.04,2.95,2.95,16482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.5784274911187848,,,,,2.2974168648465776,3.5512652857760685,,,,,,,,,,,2.5784274911187848,3.5512652857760685,"rgba(239, 83, 80, 1.0)"
2023-09-26 00:00:00+00:00,2.98,3.03,2.9,2.9,27669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.5810634990786254,,,,,2.299459984333271,3.550897416987714,,,,,,,,,,,2.5810634990786254,3.550897416987714,"rgba(239, 83, 80, 1.0)"
2023-09-27 00:00:00+00:00,3.04,3.11,2.97,2.97,27327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.5840946510069274,,,,,2.301675086741152,3.550578278352816,,,,,,,,,,,2.5840946510069274,3.550578278352816,#000000
2023-09-28 00:00:00+00:00,2.99,3.06,2.97,2.97,96459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.5937218061015397,,,,,2.3090408645076206,3.549381625263038,,,,,,,,,,,2.5937218061015397,3.549381625263038,#000000
2023-09-29 00:00:00+00:00,2.85,3.05,2.81,2.98,124955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.6025973209696724,,,,,2.316976965955115,3.5475455951219437,,,,,,,,,,,2.6025973209696724,3.5475455951219437,"rgba(239, 83, 80, 1.0)"
2023-10-02 00:00:00+00:00,2.91,2.99,2.82,2.82,126113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.6111473679246635,,,,,2.3248188891052908,3.5457126344751644,,,,,,,,,,,2.6111473679246635,3.5457126344751644,"rgba(239, 83, 80, 1.0)"
2023-10-03 00:00:00+00:00,2.85,3.0099,2.82,2.86,49598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.614233453365601,,,,,2.3277765878412775,3.5449796148676485,,,,,,,,,,,2.614233453365601,3.5449796148676485,"rgba(239, 83, 80, 1.0)"
