date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1231,aVWAP_OB_bull_c0_1111,aVWAP_OB_bull_c0_1099,aVWAP_OB_bull_c0_1004,aVWAP_OB_bull_c0_977,aVWAP_OB_bull_c0_953,aVWAP_OB_bull_c0_720,aVWAP_OB_bull_c0_593,aVWAP_OB_bull_c0_377,aVWAP_OB_bull_c0_355,aVWAP_OB_bull_c0_347,aVWAP_OB_bull_c0_332,aVWAP_OB_bear_c0_1175,aVWAP_OB_bear_c0_944,aVWAP_OB_bear_c0_713,aVWAP_OB_bear_c0_581,aVWAP_OB_bear_c0_242,aVWAP_QQEMOD_bull_dot_c0_1093,aVWAP_QQEMOD_bull_dot_c0_1105,aVWAP_QQEMOD_bull_dot_c0_1175,aVWAP_QQEMOD_bull_dot_c0_1240,aVWAP_QQEMOD_bull_dot_c0_1253,aVWAP_QQEMOD_bear_dot_c0_1033,aVWAP_QQEMOD_bear_dot_c0_1099,aVWAP_QQEMOD_bear_dot_c0_1111,aVWAP_QQEMOD_bear_dot_c0_1192,aVWAP_QQEMOD_bear_dot_c0_1247,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2025-09-25 00:00:00+00:00,75.0480040172,75.3019129642,75.0480040172,75.2029616988,3479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.1492971525981,75.49017734457517,74.45786920048496,66.45268619085839,64.49523261324353,60.05109722417016,58.67753426541702,57.084786716072244,56.78560569025844,,,,,,,,,,,76.97680176613827,,,,,56.78560569025844,,"rgba(239, 83, 80, 1.0)"
2025-09-26 00:00:00+00:00,75.4478660807,75.4478660807,75.4478660807,75.4478660807,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.14868786701113,75.49015127419787,74.45838351601117,66.45373875563571,64.49619666178617,60.05167025324809,58.67806455875382,57.08529337606703,56.786107879295955,,,,,,,,,,,76.97241179752744,,,,,56.786107879295955,,"rgba(239, 83, 80, 1.0)"
2025-09-29 00:00:00+00:00,75.3533676222,75.3533676222,75.3513885969,75.3513885969,276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.14728717295911,75.48997962474118,74.45932541306902,66.45585149408981,64.49813559673935,60.05282584738139,58.67913453312279,57.086316183898276,56.787121748247266,,,,,,,,,,,76.9630285167517,,,,,56.787121748247266,,"rgba(239, 83, 80, 1.0)"
2025-09-30 00:00:00+00:00,76.0149557827,76.0149557827,75.6383472666,75.6383472666,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.14649714356139,75.4908489095702,74.46195091833387,66.4597611627443,64.50168739388509,60.054914310928105,58.68106292003501,57.088154592261134,56.788943258396245,,,,,,,,,,,76.95227547268361,,,,,56.788943258396245,,"rgba(239, 83, 80, 1.0)"
2025-10-01 00:00:00+00:00,75.735814263,75.7808370887,75.735814263,75.7808370887,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.14540363296575,75.49135967806217,74.46408778048814,66.46324297964931,64.5048592359988,60.05678645472027,58.682792851646525,57.089804984637944,56.790578678519,,,,,,,,,,,76.94148812156979,,,,,56.790578678519,,"rgba(239, 83, 80, 0.75)"
2025-10-02 00:00:00+00:00,75.9284723767,75.9284723767,75.9284723767,75.9284723767,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.14505630133372,75.49185744784546,74.46549524884423,66.46530081857097,64.5067280191933,60.05788490348517,58.683806973988055,57.090771648360416,56.79153643347985,,,,,,,,,,,76.93623761487173,,,,,56.79153643347985,,"rgba(239, 83, 80, 0.75)"
2025-10-03 00:00:00+00:00,76.1875267895,76.1875267895,76.1875267895,76.1875267895,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.14506758688579,75.49198893539946,74.46576996491731,66.46565169891431,64.50704522779098,60.05807021621294,58.68397784363484,57.09093431926861,56.79169757126609,,,,,,,,,,,76.9355939580369,,,,,56.79169757126609,,"rgba(239, 83, 80, 0.75)"
2025-10-06 00:00:00+00:00,76.5159460393,76.5159460393,76.4794330224,76.4794330224,804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.1468830153875,75.49563654822995,74.471974806972,66.47258200911398,64.51327850345594,60.06168634815624,58.68730722032605,57.094099331183976,56.79483197926114,,,,,,,,,,,76.92860262886809,,,,,56.79483197926114,,"rgba(239, 83, 80, 0.75)"
2025-10-07 00:00:00+00:00,76.2704479499,77.5777920683,76.2221597324,76.6674404267,3674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.15916284042642,75.51499594159993,74.50241172082264,66.50471580884977,64.54212159175445,60.07837765778319,58.70266446608531,57.10868794759815,56.809277769382525,,,,,,,,,,,76.91217496687221,,,,,56.809277769382525,,"rgba(239, 83, 80, 0.75)"
2025-10-08 00:00:00+00:00,76.260058067,76.260058067,76.1429987201,76.1429987201,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.15923850509029,75.51561519782777,74.50368810330524,66.50637065311572,64.54361978351173,60.079255273020365,58.703473860675544,57.109458596267494,56.81004117007636,,,,,,,,,,,76.90960573352109,,,,,56.81004117007636,,"rgba(239, 83, 80, 0.75)"
2025-10-09 00:00:00+00:00,76.1673407314,76.1673407314,76.1673407314,76.1673407314,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.1592449226756,75.51598553231152,74.50448865534037,66.50743716238459,64.54458630282927,60.079822236038204,58.70399689542893,57.10995672575849,56.81053463689908,,,,,,,,,,,76.9078213428971,,,,,56.81053463689908,,"rgba(239, 83, 80, 0.75)"
2025-10-10 00:00:00+00:00,75.6743655272,76.2271072957,75.6743655272,76.2271072957,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.15892591730193,75.51624643399526,74.50536195162202,66.50882137311653,64.54584781231553,60.08056792883183,58.7046858809299,57.1106138975741,56.811185824162756,,,,,,,,,,,76.90444962463728,,,,,56.811185824162756,,"rgba(239, 83, 80, 0.75)"
