date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1247,aVWAP_OB_bull_c0_1233,aVWAP_OB_bull_c0_1198,aVWAP_OB_bull_c0_1179,aVWAP_OB_bull_c0_1071,aVWAP_OB_bull_c0_1014,aVWAP_OB_bull_c0_986,aVWAP_OB_bull_c0_954,aVWAP_OB_bull_c0_421,aVWAP_OB_bull_c0_390,aVWAP_OB_bull_c0_332,aVWAP_OB_bear_c0_1153,aVWAP_OB_bear_c0_901,aVWAP_OB_bear_c0_853,aVWAP_OB_bear_c0_767,aVWAP_QQEMOD_bull_dot_c0_945,aVWAP_QQEMOD_bull_dot_c0_1041,aVWAP_QQEMOD_bull_dot_c0_1095,aVWAP_QQEMOD_bull_dot_c0_1153,aVWAP_QQEMOD_bull_dot_c0_1251,aVWAP_QQEMOD_bear_dot_c0_934,aVWAP_QQEMOD_bear_dot_c0_954,aVWAP_QQEMOD_bear_dot_c0_1058,aVWAP_QQEMOD_bear_dot_c0_1114,aVWAP_QQEMOD_bear_dot_c0_1179,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2023-07-14 00:00:00+00:00,115.94,122.12,115.25,116.17,91927197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,101.68281011170804,96.36534335227748,86.37513415067808,,,,,,,,,,,,,,,86.37513415067808,,#000000
2023-07-17 00:00:00+00:00,118.32,118.8399,112.73,115.95,68593288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,101.83679137605512,96.5292203941792,86.53997305733633,,,,,,,,,,,,,,,86.53997305733633,,"rgba(38, 166, 154, 0.5)"
2023-07-18 00:00:00+00:00,117.93,118.43,115.192,117.55,57980077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,101.96927753203917,96.66944968858415,86.68045240761994,,,,,,,,,,,,,,,86.68045240761994,,"rgba(38, 166, 154, 0.5)"
2023-07-19 00:00:00+00:00,116.43,121.6699,115.55,121.3,70363051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.13426874762787,96.84280613175599,86.85308283441485,,,,,,,,,,,,,,,86.85308283441485,,"rgba(38, 166, 154, 0.5)"
2023-07-20 00:00:00+00:00,110.25,115.05,109.24,114.96,76340398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.23859468443159,96.9717327103854,87.00022301724394,,,,,,,,,,,,,,,87.00022301724394,,#000000
2023-07-21 00:00:00+00:00,110.95,112.3,109.54,110.97,76815378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.33479637164352,97.094081166827,87.14303563559027,,,,,,,,,,,,,,,87.14303563559027,,"rgba(239, 83, 80, 1.0)"
2023-07-24 00:00:00+00:00,110.61,111.31,108.55,110.617,45637998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.38589803971155,97.16175468259074,87.22434757497065,,,,,,,,,,,,,,,87.22434757497065,,"rgba(239, 83, 80, 1.0)"
2023-07-25 00:00:00+00:00,113.0,114.05,111.0,111.14,44916262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.45168609465034,97.24049438283772,87.31257014936857,,,,,,,,,,,,,,,87.31257014936857,,"rgba(239, 83, 80, 1.0)"
2023-07-26 00:00:00+00:00,110.09,112.36,109.3,111.91,51721689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.5110718504865,97.31798437880245,87.4050588805715,,,,,,,,,,,,,,,87.4050588805715,,"rgba(239, 83, 80, 1.0)"
2023-07-27 00:00:00+00:00,111.1,115.08,110.51,111.79,70677972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.60710493738438,97.4353962777615,87.53915786193781,,,,,,,,,,,,,,,87.53915786193781,,"rgba(239, 83, 80, 1.0)"
2023-07-28 00:00:00+00:00,112.96,114.86,112.44,113.38,55525965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.69039597029713,97.53366414657216,87.64852543012456,,,,,,,,,,,,,,,87.64852543012456,,"rgba(239, 83, 80, 1.0)"
2023-07-31 00:00:00+00:00,114.4,114.68,112.35,114.16,54187286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.77336086891793,97.63073075388105,87.75597046166165,,,,,,,,,,,,,,,87.75597046166165,,#000000
2023-08-01 00:00:00+00:00,117.6,118.19,113.16,114.26,97284727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,102.95237945794295,97.82867830421118,87.96502021911931,,,,,,,,,,,,,,,87.96502021911931,,#000000
2023-08-02 00:00:00+00:00,109.35,119.5,107.38,119.49,173372010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.16236769168857,98.09267634926377,88.27548597115626,,,,,,,,,,,,,,,88.27548597115626,,#000000
2023-08-03 00:00:00+00:00,113.15,114.96,108.95,108.95,90811558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.27184277678862,98.22975006834828,88.43679080106716,,,,,,,,,,,,,,,88.43679080106716,,#000000
2023-08-04 00:00:00+00:00,115.82,118.85,113.96,114.48,83169686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.41145984668437,98.38665185461706,88.60615562695446,,,,,,,,,,,,,,,88.60615562695446,,#000000
2023-08-07 00:00:00+00:00,116.81,119.08,115.49,116.36,65854765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.52765700834843,98.51524971558706,88.74320738841433,,,,,,,,,,,,,,,88.74320738841433,,"rgba(38, 166, 154, 0.5)"
2023-08-08 00:00:00+00:00,113.23,115.46,111.41,114.94,54141829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.59571447291016,98.59856681720173,88.84010425203147,,,,,,,,,,,,,,,88.84010425203147,,#000000
2023-08-09 00:00:00+00:00,110.47,113.15,108.78,112.89,56257067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.64712466164917,98.66927945270648,88.92953007227912,,,,,,,,,,,,,,,88.92953007227912,,#000000
2023-08-10 00:00:00+00:00,110.23,113.89,109.47,111.3,57297792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.7015993332164,98.74279031680472,89.02150305930716,,,,,,,,,,,,,,,89.02150305930716,,"rgba(239, 83, 80, 1.0)"
2023-08-11 00:00:00+00:00,107.57,109.07,106.48,108.85,55667745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.7294808017502,98.79360435523651,89.09618563015687,,,,,,,,,,,,,,,89.09618563015687,,"rgba(239, 83, 80, 1.0)"
2023-08-14 00:00:00+00:00,111.98,111.99,105.42,106.75,57421820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.77273805740782,98.85756939336228,89.18117982696396,,,,,,,,,,,,,,,89.18117982696396,,"rgba(239, 83, 80, 1.0)"
2023-08-15 00:00:00+00:00,111.35,113.18,110.17,111.99,53816569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.82447190851028,98.92643828040501,89.26699151122565,,,,,,,,,,,,,,,89.26699151122565,,"rgba(239, 83, 80, 1.0)"
2023-08-16 00:00:00+00:00,107.19,110.4388,106.98,110.0863,54327298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.8536154039743,98.97690733092425,89.33998624484124,,,,,,,,,,,,,,,89.33998624484124,,"rgba(239, 83, 80, 1.0)"
2023-08-17 00:00:00+00:00,104.44,107.85,104.1,107.62,59064275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.86518039291694,99.01504834294524,89.40727620850902,,,,,,,,,,,,,,,89.40727620850902,,"rgba(239, 83, 80, 1.0)"
2023-08-18 00:00:00+00:00,105.45,106.07,101.68,102.4,59916675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.86905004443727,99.04697904848226,89.47048298990795,,,,,,,,,,,,,,,89.47048298990795,,"rgba(239, 83, 80, 1.0)"
2023-08-21 00:00:00+00:00,108.22,108.54,105.67,106.2,49319240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.89040874012018,99.08792323890599,89.5327515770871,,,,,,,,,,,,,,,89.5327515770871,,"rgba(239, 83, 80, 1.0)"
2023-08-22 00:00:00+00:00,105.66,109.72,104.85,109.4,47335086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.90652820598226,99.12344514003566,89.58968543620156,,,,,,,,,,,,,,,89.58968543620156,,"rgba(239, 83, 80, 1.0)"
2023-08-23 00:00:00+00:00,109.43,110.08,105.0,105.65,54656329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.93416304110546,99.17165630283843,89.66038711009593,,,,,,,,,,,,,,,89.66038711009593,,"rgba(239, 83, 80, 0.75)"
2023-08-24 00:00:00+00:00,101.8,111.64,100.871,111.06,109179129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.94485113747157,99.23062888534011,89.77437273663982,,,,,,,,,,,,,,,89.77437273663982,,"rgba(239, 83, 80, 0.75)"
2023-08-25 00:00:00+00:00,102.25,104.12,99.58,101.165,74793086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.9278243235514,99.25034964311882,89.8371422999025,,,,,,,,,,,,,,,89.8371422999025,,"rgba(239, 83, 80, 1.0)"
2023-08-28 00:00:00+00:00,102.61,104.07,100.8944,103.47,55386803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.91886307743492,99.26762986455532,89.88526459926454,,,,,,,,,,,,,,,89.88526459926454,,"rgba(239, 83, 80, 1.0)"
2023-08-29 00:00:00+00:00,105.92,106.57,101.79,102.11,50850289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.92376670848112,99.29411234872009,89.93688146458064,,,,,,,,,,,,,,,89.93688146458064,,"rgba(239, 83, 80, 1.0)"
2023-08-30 00:00:00+00:00,106.59,107.67,104.5,105.402,54847348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.93832351580566,99.33011785984961,89.99772407466196,,,,,,,,,,,,,,,89.99772407466196,,"rgba(239, 83, 80, 0.75)"
2023-08-31 00:00:00+00:00,105.72,108.06,104.86,106.19,58918970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.9534929116175,99.36816238469812,90.06242026454295,,,,,,,,,,,,,,,90.06242026454295,,"rgba(239, 83, 80, 0.75)"
2023-09-01 00:00:00+00:00,109.45,110.06,106.61,107.0,54856148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.98281879299948,99.41597242711815,90.13142043688279,,,,,,,,,,,,,,,90.13142043688279,,#000000
2023-09-05 00:00:00+00:00,110.78,111.82,106.3,109.0,66042191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.02448055071281,99.47856287831354,90.21792678828045,,,,,,,,,,,,,,,90.21792678828045,,#000000
