date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1220,aVWAP_OB_bull_c0_1203,aVWAP_OB_bear_c0_1245,aVWAP_OB_bear_c0_1240,aVWAP_OB_bear_c0_1152,aVWAP_OB_bear_c0_1024,aVWAP_OB_bear_c0_69,aVWAP_QQEMOD_bull_dot_c0_1074,aVWAP_QQEMOD_bull_dot_c0_1085,aVWAP_QQEMOD_bull_dot_c0_1125,aVWAP_QQEMOD_bull_dot_c0_1141,aVWAP_QQEMOD_bull_dot_c0_1222,aVWAP_QQEMOD_bear_dot_c0_1084,aVWAP_QQEMOD_bear_dot_c0_1120,aVWAP_QQEMOD_bear_dot_c0_1135,aVWAP_QQEMOD_bear_dot_c0_1173,aVWAP_QQEMOD_bear_dot_c0_1251,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-09-26 00:00:00+00:00,6.495,7.0984,6.12,7.0984,3152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.698029087024658,,,,,,,,,,,,11.725364524242593,"rgba(38, 166, 154, 1.0)"
2024-09-27 00:00:00+00:00,6.5,6.81,6.15,6.15,10612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.681555894583202,,,,,,,,,,,,11.708829285015458,"rgba(38, 166, 154, 1.0)"
2024-09-30 00:00:00+00:00,7.01,7.5,6.6,6.6,8300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.670100493198035,,,,,,,,,,,,11.697323530281507,"rgba(38, 166, 154, 1.0)"
2024-10-01 00:00:00+00:00,6.4915,7.3,6.4915,7.0,2735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.666114254363501,,,,,,,,,,,,11.693321063476832,"rgba(38, 166, 154, 1.0)"
2024-10-02 00:00:00+00:00,6.91,7.31,6.5,6.5,6432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.657042775471506,,,,,,,,,,,,11.684211080594347,"rgba(38, 166, 154, 1.0)"
2024-10-03 00:00:00+00:00,6.7561,7.24,6.5545,6.8,3063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.65268375998713,,,,,,,,,,,,11.679833837606248,"rgba(38, 166, 154, 1.0)"
2024-10-04 00:00:00+00:00,6.9582,6.98,6.84,6.95,2748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.648841422930273,,,,,,,,,,,,11.675975075712957,"rgba(38, 166, 154, 1.0)"
2024-10-07 00:00:00+00:00,6.9724,7.145,6.58,6.71,10940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.633519639360873,,,,,,,,,,,,11.660588203750697,"rgba(38, 166, 154, 1.0)"
2024-10-08 00:00:00+00:00,7.1,7.1,6.66,6.89,9099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.620996355000655,,,,,,,,,,,,11.648010783019078,"rgba(38, 166, 154, 1.0)"
2024-10-09 00:00:00+00:00,7.18,7.2407,6.8,6.8,2985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.617008028554542,,,,,,,,,,,,11.644004585477797,"rgba(38, 166, 154, 1.0)"
2024-10-10 00:00:00+00:00,7.18,7.18,7.18,7.18,746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.616035697336057,,,,,,,,,,,,11.643027757446841,"rgba(38, 166, 154, 1.0)"
2024-10-11 00:00:00+00:00,7.18,7.18,7.18,7.18,419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.615489762519548,,,,,,,,,,,,11.642479297532661,"rgba(38, 166, 154, 1.0)"
2024-10-14 00:00:00+00:00,7.085,7.35,7.04,7.35,1263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.613836918446925,,,,,,,,,,,,11.640818856234048,"rgba(38, 166, 154, 1.0)"
2024-10-15 00:00:00+00:00,7.4001,7.64,7.0,7.11,15120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.594977196083022,,,,,,,,,,,,11.621867279908486,"rgba(38, 166, 154, 1.0)"
2024-10-16 00:00:00+00:00,8.56,9.2,7.01,7.01,29562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.566376888112723,,,,,,,,,,,,11.593077862975099,"rgba(38, 166, 154, 1.0)"
2024-10-17 00:00:00+00:00,7.9,8.4,7.7942,8.23,6867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.559355865760372,,,,,,,,,,,,11.58601391355164,"rgba(38, 166, 154, 1.0)"
2024-10-18 00:00:00+00:00,8.0,8.25,7.66,7.71,8443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.550612054224743,,,,,,,,,,,,11.577217714652097,"rgba(38, 166, 154, 0.75)"
2024-10-21 00:00:00+00:00,7.9,8.0,7.75,7.75,2345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.54813246064669,,,,,,,,,,,,11.574723688637713,"rgba(38, 166, 154, 0.75)"
2024-10-22 00:00:00+00:00,7.9974,7.9974,7.67,7.87,1390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.546666238837238,,,,,,,,,,,,11.573248916124374,"rgba(38, 166, 154, 0.75)"
2024-10-23 00:00:00+00:00,8.0,8.0,7.6401,7.84,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.544610885618056,,,,,,,,,,,,11.57118160716668,"rgba(38, 166, 154, 0.75)"
2024-10-24 00:00:00+00:00,7.725,8.16,7.52,8.16,1123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.543400485811716,,,,,,,,,,,,11.569964348569231,"rgba(38, 166, 154, 0.75)"
2024-10-25 00:00:00+00:00,7.66,7.66,7.3097,7.3097,4664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.538035241228453,,,,,,,,,,,,11.564571146099627,"rgba(38, 166, 154, 0.75)"
2024-10-28 00:00:00+00:00,7.45,8.07,7.205,7.25,7670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.529313177217094,,,,,,,,,,,,11.555803124184571,"rgba(38, 166, 154, 0.75)"
2024-10-29 00:00:00+00:00,7.43,7.43,7.3,7.3,902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.528241243343688,,,,,,,,,,,,11.554725864357708,"rgba(38, 166, 154, 0.75)"
