date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1198,aVWAP_OB_bull_c0_1046,aVWAP_OB_bull_c0_1033,aVWAP_OB_bull_c0_1000,aVWAP_OB_bull_c0_986,aVWAP_OB_bull_c0_953,aVWAP_OB_bull_c0_785,aVWAP_OB_bull_c0_712,aVWAP_OB_bull_c0_648,aVWAP_OB_bull_c0_603,aVWAP_OB_bull_c0_347,aVWAP_OB_bear_c0_943,aVWAP_OB_bear_c0_643,aVWAP_OB_bear_c0_580,aVWAP_QQEMOD_bull_dot_c0_919,aVWAP_QQEMOD_bull_dot_c0_1104,aVWAP_QQEMOD_bull_dot_c0_1126,aVWAP_QQEMOD_bull_dot_c0_1176,aVWAP_QQEMOD_bull_dot_c0_1241,aVWAP_QQEMOD_bear_dot_c0_953,aVWAP_QQEMOD_bear_dot_c0_1111,aVWAP_QQEMOD_bear_dot_c0_1162,aVWAP_QQEMOD_bear_dot_c0_1198,aVWAP_QQEMOD_bear_dot_c0_1248,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-06-28 00:00:00+00:00,43.0904488384,43.3528397318,43.0686078633,43.3528397318,709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.576968086645984,41.99255457505927,41.16503362904017,38.094141588691414,,,,,,,,,,,,,,37.9573188085694,,#000000
2024-07-01 00:00:00+00:00,43.070203551,43.3428666838,43.0137560992,43.1035135314,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.58374057775693,41.995549177049924,41.1690637353779,38.09884033912746,,,,,,,,,,,,,,37.962031986562145,,#000000
2024-07-02 00:00:00+00:00,43.0812736343,43.0812736343,42.9699744184,42.9738639071,787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.58851407594816,41.99793210537895,41.17239986072892,38.102862190253006,,,,,,,,,,,,,,37.96606846511138,,#000000
2024-07-03 00:00:00+00:00,43.3831577978,43.3831577978,43.0935404833,43.0935404833,787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.59567734400722,42.000853918351226,41.176154718718614,38.10707451594146,,,,,,,,,,,,,,37.97029094517951,,#000000
2024-07-05 00:00:00+00:00,43.5219826262,43.5219826262,43.3628127798,43.492462404,1335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.61061701017511,42.00647852193033,41.183041311982066,38.114455264882565,,,,,,,,,,,,,,37.977683392299205,,"rgba(38, 166, 154, 1.0)"
2024-07-08 00:00:00+00:00,43.6124381717,43.6919233644,43.502435452,43.5885028564,1676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.63146789453738,42.014117378126386,41.1921295150654,38.12392259727859,,,,,,,,,,,,,,37.98716067768363,,"rgba(38, 166, 154, 1.0)"
2024-07-09 00:00:00+00:00,43.5566888333,43.7221416999,43.5105136209,43.6221120283,802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.64108042059937,42.01773361863344,41.19644385373076,38.12843656344382,,,,,,,,,,,,,,37.99167977507302,,"rgba(38, 166, 154, 1.0)"
2024-07-10 00:00:00+00:00,43.8685460448,43.8685460448,43.5223815481,43.5223815481,2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.67371405173223,42.029687531368936,41.210292007815355,38.14248189203603,,,,,,,,,,,,,,38.00573259722967,,"rgba(38, 166, 154, 1.0)"
2024-07-11 00:00:00+00:00,44.340071755,44.340071755,44.1838938231,44.1838938231,1218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.69707604503367,42.03744505581083,41.218611371083306,38.15015152625541,,,,,,,,,,,,,,38.013391099956365,,"rgba(38, 166, 154, 1.0)"
2024-07-12 00:00:00+00:00,44.6742685941,44.8413171484,44.5633683001,44.5633683001,1924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.74168357248082,42.051776735774155,41.23338355578278,38.16302463900649,,,,,,,,,,,,,,38.02622914522046,,"rgba(38, 166, 154, 1.0)"
2024-07-15 00:00:00+00:00,44.7678157845,44.8188777904,44.6095435125,44.8188777904,974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.76395123739139,42.059079664464925,41.24089795929296,38.16956109166457,,,,,,,,,,,,,,38.03274744345348,,"rgba(38, 166, 154, 1.0)"
2024-07-16 00:00:00+00:00,45.442093561,45.442093561,44.9983926547,44.9983926547,625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.781986057812475,42.06472598112653,41.24647648637679,38.174107260515406,,,,,,,,,,,,,,38.03727385210521,,"rgba(38, 166, 154, 1.0)"
2024-07-17 00:00:00+00:00,44.6764626647,45.0369883505,44.6764626647,45.0369883505,570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.79499765528151,42.069067547998415,41.25092699310216,38.17795893227263,,,,,,,,,,,,,,38.04111432329147,,"rgba(38, 166, 154, 0.75)"
2024-07-18 00:00:00+00:00,44.1706296692,44.7640260263,44.1706296692,44.7091742622,1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.82402864784746,42.07965409458376,41.26226033138448,38.1884202375618,,,,,,,,,,,,,,38.051560371168215,,"rgba(38, 166, 154, 0.75)"
2024-07-19 00:00:00+00:00,44.0103627876,44.0478614481,44.0103627876,44.0478614481,419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.829589248700664,42.08191108354916,41.26479268327161,38.19090934669427,,,,,,,,,,,,,,38.05404916108464,,"rgba(38, 166, 154, 0.75)"
2024-07-22 00:00:00+00:00,44.498742949,44.498742949,44.2703601494,44.2703601494,927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.84577069745863,42.08791048315985,41.27118845863031,38.19678569525586,,,,,,,,,,,,,,38.05991629900739,,"rgba(38, 166, 154, 0.75)"
2024-07-23 00:00:00+00:00,44.6011661521,44.7191473102,44.6011661521,44.7191473102,682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.859083301463365,42.092714754682575,41.276201528359,38.201252941196365,,,,,,,,,,,,,,38.0643734667992,,"rgba(38, 166, 154, 0.75)"
2024-07-24 00:00:00+00:00,43.6152306251,44.2864167567,43.6152306251,44.2005488133,3120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.89124316625419,42.10762207605318,41.29352740265601,38.21907679052722,,,,,,,,,,,,,,38.08221131460997,,"rgba(38, 166, 154, 0.5)"
2024-07-25 00:00:00+00:00,43.6659934395,44.1327320868,43.6659934395,44.1327320868,322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.894383767006886,42.109130806787384,41.295290072022176,38.220904218271826,,,,,,,,,,,,,,38.084040459251106,,#000000
2024-07-26 00:00:00+00:00,44.0855595696,44.1705299387,43.9811417569,43.9811417569,2206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.92116321866732,42.12093961780147,41.30852440341982,38.23396595881396,,,,,,,,,,,,,,38.097101528332686,,#000000
2024-07-29 00:00:00+00:00,44.0096646742,44.1506835732,44.0096646742,44.1307374771,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.944234720916214,42.13152776160824,41.320459355599716,38.24585320140378,,,,,,,,,,,,,,38.10899036947542,,#000000
2024-07-30 00:00:00+00:00,43.8567778481,43.8567778481,43.8567778481,43.8567778481,295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.946929148125896,42.13290209536872,41.32206378744434,38.247522265724974,,,,,,,,,,,,,,38.11066111609638,,#000000
2024-07-31 00:00:00+00:00,44.4034006099,44.5196863498,44.2703601494,44.2703601494,2320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.97985545945706,42.14700295186924,41.33728956731164,38.26187668544854,,,,,,,,,,,,,,38.12500075891937,,#000000
2024-08-01 00:00:00+00:00,43.7598398214,44.6711769492,43.6618047594,44.6711769492,2111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,43.001120739085366,42.15761519769708,41.34936820635853,38.27410239487196,,,,,,,,,,,,,,38.13723207223043,,#000000
2024-08-02 00:00:00+00:00,42.7763975564,42.9938100032,42.6449527835,42.9938100032,1319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.99867314531916,42.15988595039936,41.353435313687875,38.280093955850205,,,,,,,,,,,,,,38.14326451551439,,"rgba(239, 83, 80, 1.0)"
2024-08-05 00:00:00+00:00,41.737205953,42.0513569655,41.1786155335,41.3781762243,3956,1.0,42.051357,41.178616,0.0,0.0,0.0,0.0,0.0,,,,,,,41.655726150666666,42.95020669597923,42.154637795864865,41.3559473766544,38.29342911423411,,,,,,,,,,,,,,38.15682646112006,,"rgba(239, 83, 80, 1.0)"
2024-08-06 00:00:00+00:00,42.4887748516,42.8063167004,42.0283192246,42.1161817776,2141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.931528097360044,42.94045412228341,42.15624282250639,41.36080610578483,38.30227790804489,,,,,,,,,,,,,,38.16576044484525,,"rgba(239, 83, 80, 1.0)"
2024-08-07 00:00:00+00:00,42.0383920031,42.9738639071,42.0383920031,42.9738639071,938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,41.98735314719204,42.935541363191966,42.15671774429988,41.36274310047239,38.30605789425,,,,,,,,,,,,,,38.169579823922966,,"rgba(239, 83, 80, 1.0)"
2024-08-08 00:00:00+00:00,43.2928019827,43.2928019827,42.4353193142,42.4353193142,1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,42.150697036039595,42.936381995364016,42.15968572843195,41.367335609957024,38.312329933161315,,,,,,,,,,,,,,38.175888645349474,,"rgba(239, 83, 80, 1.0)"
2024-08-09 00:00:00+00:00,43.4668316706,43.6177238871,43.4668316706,43.6177238871,394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,42.212078203954746,42.938381578954214,42.16107546372533,41.369097065144175,38.31436793137079,,,,,,,,,,,,,,38.17793300026641,,"rgba(239, 83, 80, 0.75)"
2024-08-12 00:00:00+00:00,43.3531389232,43.492462404,43.2830283957,43.2930014437,1112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,42.34306216170953,42.942595292476376,42.164576448295186,41.373727822923826,38.31995568553285,,,,,,,,,,,,,,38.183542359466294,,"rgba(239, 83, 80, 0.75)"
2024-08-13 00:00:00+00:00,43.9189099373,43.9333708569,43.5223815481,43.6221120283,1677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,42.55319373646376,42.95474086442538,42.17161515373783,41.38211131909525,38.32904955666159,,,,,,,,,,,,,,38.19265375405536,,#000000
2024-08-14 00:00:00+00:00,43.9397536076,43.9989935128,43.7771929249,43.9989935128,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,42.67553343384889,42.963975960789405,42.17674333011314,41.38809661274862,38.33539771826312,,,,,,,,,,,,,,38.19901138724418,,#000000
2024-08-15 00:00:00+00:00,44.641856188,44.7291203582,44.3002792934,44.3102523415,930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,42.803821059713734,42.97639500242178,42.18242369574863,41.39416407270683,38.3411203832817,,,,,,,,,,,,,,38.2047285046534,,"rgba(38, 166, 154, 0.5)"
2024-08-16 00:00:00+00:00,44.6674869214,44.7979343895,44.609443782,44.609443782,490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,42.86928619153119,42.98341112297152,42.18557462967274,41.397487151950905,38.344196486122115,,,,,,,,,,,,,,38.207800324298034,,"rgba(38, 166, 154, 0.5)"
2024-08-19 00:00:00+00:00,45.2753441981,45.2753441981,44.7789855983,44.8373279292,5488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43.49608000375205,43.07656493596666,42.22613306921569,41.43892148140804,38.380703266164325,,,,,,,,,,,,,,38.24421365451112,,"rgba(38, 166, 154, 1.0)"
2024-08-20 00:00:00+00:00,45.1281420094,45.3474493353,44.9884196066,45.3005760096,1495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43.61352387806907,43.101071475567316,42.23715599591165,41.45018463670727,38.3906457156191,,,,,,,,,,,,,,38.254130872302724,,"rgba(38, 166, 154, 1.0)"
2024-08-21 00:00:00+00:00,45.5621690591,45.5621690591,45.5621690591,45.5621690591,418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43.651354619124795,43.10915961694458,42.240651564278274,41.45366666547935,38.3935875527728,,,,,,,,,,,,,,38.25706206772191,,"rgba(38, 166, 154, 1.0)"
2024-08-22 00:00:00+00:00,45.0732902453,45.5668563917,45.0732902453,45.5518968196,1233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43.737284258610146,43.129596830790376,42.24991722898392,41.463095371123195,38.40185922048603,,,,,,,,,,,,,,38.26531141027628,,"rgba(38, 166, 154, 1.0)"
2024-08-23 00:00:00+00:00,45.8327378518,45.854578827,45.7164521119,45.7164521119,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43.773100400628294,43.13793371225822,42.25349311890452,41.46661664827321,38.404773673336216,,,,,,,,,,,,,,38.268213765952254,,"rgba(38, 166, 154, 1.0)"
2024-08-26 00:00:00+00:00,45.8062095441,46.0455626965,45.8062095441,45.9584979873,2388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43.97054853962496,43.18794642275975,42.27509124436559,41.48782343571759,38.422236979174265,,,,,,,,,,,,,,38.285602067969236,,"rgba(38, 166, 154, 1.0)"
2024-08-27 00:00:00+00:00,45.8087028061,45.8087028061,45.6266946798,45.6266946798,434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.000232564663904,43.19638618455964,42.278840061485475,41.49153555252173,38.425343541480935,,,,,,,,,,,,,,38.2886965243785,,"rgba(38, 166, 154, 1.0)"
2024-08-28 00:00:00+00:00,45.4851771284,45.6965060159,45.4172606714,45.6965060159,1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.06626526175007,43.21696936042578,42.2882821325914,41.501006742289725,38.43345969842242,,,,,,,,,,,,,,38.29678581504641,,"rgba(38, 166, 154, 1.0)"
2024-08-29 00:00:00+00:00,45.6216084253,45.8859939282,45.5568833436,45.7064790639,705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.10730309433396,43.23001723037866,42.29421601642809,41.50691116245855,38.43844796067364,,,,,,,,,,,,,,38.3017557575819,,"rgba(38, 166, 154, 1.0)"
2024-08-30 00:00:00+00:00,45.8228645343,45.8228645343,45.5768294397,45.5768294397,391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.12990937836562,43.23734832885855,42.2975490405978,41.510219815259596,38.44123163005643,,,,,,,,,,,,,,38.30452889893647,,"rgba(38, 166, 154, 1.0)"
2024-09-03 00:00:00+00:00,44.6910233148,45.5309534188,44.6910233148,45.5309534188,1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.167966363597635,43.254511420318714,42.30637339864576,41.51945665648262,38.449744711083596,,,,,,,,,,,,,,38.31302848028577,,"rgba(38, 166, 154, 0.5)"
2024-09-04 00:00:00+00:00,44.6475408254,44.9285813185,44.639362926,44.639362926,3114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.22228581344975,43.28790901468503,42.324900743945996,41.53931423439832,38.46875446921167,,,,,,,,,,,,,,38.33202431617682,,"rgba(38, 166, 154, 0.5)"
2024-09-05 00:00:00+00:00,44.3900367256,44.4996405233,44.3800636776,44.4399019657,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.23411692263615,43.30445236514281,42.33535092465408,41.55095591260032,38.480557195079335,,,,,,,,,,,,,,38.34383302677121,,#000000
2024-09-06 00:00:00+00:00,43.8914840552,44.045966569,43.8179826913,44.045966569,957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.22565804088543,43.30860899182599,42.3390301652092,41.555417727282595,38.485594221999435,,,,,,,,,,,,,,38.3488834511834,,"rgba(239, 83, 80, 1.0)"
2024-09-09 00:00:00+00:00,44.3119477596,44.4397932595,44.2404410053,44.4397932595,1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.22891677723157,43.31680670904224,42.34454327012233,41.56165057933736,38.4920535882973,,,,,,,,,,,,,,38.35534907413935,,"rgba(239, 83, 80, 1.0)"
2024-09-10 00:00:00+00:00,44.347950463,44.3700906296,44.3084571928,44.3700906296,685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.23098337062393,43.321711604218656,42.34785161619336,41.56538790470737,38.49592542059329,,,,,,,,,,,,,,38.359224633514366,,"rgba(239, 83, 80, 1.0)"
2024-09-11 00:00:00+00:00,44.7738993438,44.7738993438,44.1502846513,44.1502846513,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.235135174582034,43.325790931830184,42.35037468758963,41.56815853519249,38.49868651387023,,,,,,,,,,,,,,38.36198612336195,,"rgba(239, 83, 80, 1.0)"
2024-09-12 00:00:00+00:00,45.1934654739,45.1934654739,45.1228562939,45.1228562939,354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.243761117358105,43.33032371412643,42.352783068731064,41.57065635923782,38.500966465858625,,,,,,,,,,,,,,38.364261894270236,,#000000
2024-09-13 00:00:00+00:00,45.8204710027,45.9340640197,45.7064790639,45.9340640197,974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.28279779813478,43.347050087378705,42.36091332655061,41.57874974061847,38.507842535649026,,,,,,,,,,,,,,38.371113295552924,,"rgba(38, 166, 154, 0.5)"
2024-09-16 00:00:00+00:00,46.3539293412,46.3647002331,45.9558052643,45.9558052643,1849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.369982364332984,43.383285198043126,42.37803537978216,41.59548641821188,38.52158034144348,,,,,,,,,,,,,,38.384789460016165,,"rgba(38, 166, 154, 0.5)"
2024-09-17 00:00:00+00:00,46.3989077878,46.5342420493,46.3647002331,46.5342420493,740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.40638816028402,43.398574624574756,42.38521334669511,41.60245013621625,38.527212689575,,,,,,,,,,,,,,38.39039427122527,,"rgba(38, 166, 154, 1.0)"
2024-09-18 00:00:00+00:00,46.4234414859,46.7835682498,46.314834993,46.314834993,2465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.52304924632206,43.44964367866862,42.409379206364314,41.625859250358715,38.54609343782773,,,,,,,,,,,,,,38.40918098052687,,"rgba(38, 166, 154, 1.0)"
2024-09-19 00:00:00+00:00,47.3011694419,47.3011694419,47.1226518824,47.1226518824,489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.552670512218654,43.4619613200664,42.41499261557999,41.63117119824267,38.55017286108892,,,,,,,,,,,,,,38.41323454015256,,"rgba(38, 166, 154, 1.0)"
2024-09-20 00:00:00+00:00,47.4508648926,47.4906573542,47.1226518824,47.3420589388,825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.60324910784166,43.483178442891855,42.424654734788575,41.64029047017159,38.55713607032692,,,,,,,,,,,,,,38.420152413895,,"rgba(38, 166, 154, 1.0)"
