date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1033,aVWAP_OB_bull_c0_953,aVWAP_OB_bull_c0_902,aVWAP_OB_bull_c0_788,aVWAP_OB_bull_c0_676,aVWAP_OB_bull_c0_431,aVWAP_OB_bull_c0_386,aVWAP_OB_bull_c0_363,aVWAP_OB_bull_c0_347,aVWAP_OB_bear_c0_1225,aVWAP_OB_bear_c0_1175,aVWAP_OB_bear_c0_994,aVWAP_OB_bear_c0_208,aVWAP_QQEMOD_bull_dot_c0_1086,aVWAP_QQEMOD_bull_dot_c0_1157,aVWAP_QQEMOD_bull_dot_c0_1175,aVWAP_QQEMOD_bull_dot_c0_1211,aVWAP_QQEMOD_bull_dot_c0_1228,aVWAP_QQEMOD_bear_dot_c0_1094,aVWAP_QQEMOD_bear_dot_c0_1162,aVWAP_QQEMOD_bear_dot_c0_1192,aVWAP_QQEMOD_bear_dot_c0_1219,aVWAP_QQEMOD_bear_dot_c0_1249,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-12-02 00:00:00+00:00,5.5080921619,5.5978980124,5.4332539532,5.5879195846,2691837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.654886776426255,5.529582686226193,5.178632032992751,5.092903130985473,5.036150297883745,4.972943496720457,,,,4.902285687417309,,,,,,,,,,,4.972943496720457,,#000000
2024-12-03 00:00:00+00:00,5.8373802803,5.857337136,5.5779411567,5.5779411567,4257319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.656318376440039,5.531053271544171,5.180729288479284,5.095134503513115,5.038482973588607,4.9753915509892455,,,,4.904463197482491,,,,,,,,,,,4.9753915509892455,,"rgba(38, 166, 154, 1.0)"
2024-12-04 00:00:00+00:00,5.9870566978,6.1167762595,5.797466569,5.8274018525,6136243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.662441515429972,5.535070181719597,5.184814024363974,5.099333527883938,5.04279082024777,4.979831409837306,,,,4.908348445274882,,,,,,,,,,,4.979831409837306,,"rgba(38, 166, 154, 1.0)"
2024-12-05 00:00:00+00:00,5.8473587081,6.0070135534,5.7775097133,5.9371645586,4140149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.665260142547463,5.5371841180690184,5.187232479110593,5.10185301037392,5.045394621816347,4.982534155145658,,,,4.910732831998648,,,,,,,,,,,4.982534155145658,,"rgba(38, 166, 154, 1.0)"
2024-12-06 00:00:00+00:00,5.6677470072,5.8473587081,5.6178548681,5.8174234247,4131286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.665851007476874,5.5382488466156685,5.189051412667699,5.1038151712942135,5.047460512590545,4.984716665355233,,,,4.912693072528038,,,,,,,,,,,4.984716665355233,,"rgba(38, 166, 154, 1.0)"
2024-12-09 00:00:00+00:00,5.857337136,6.0968194039,5.7675312855,5.797466569,6757684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.670847269517885,5.541909578971378,5.193108120053904,5.108026233273713,5.051803554590479,4.989215672241426,,,,4.916662044845928,,,,,,,,,,,4.989215672241426,,"rgba(38, 166, 154, 1.0)"
2024-12-10 00:00:00+00:00,5.9371645586,5.9970351256,5.8373802803,5.9172077029,4375407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.6741932872795635,5.544347453495907,5.195770970200062,5.110785559586225,5.05464644050346,4.992157668398748,,,,4.919257850349202,,,,,,,,,,,4.992157668398748,,"rgba(38, 166, 154, 1.0)"
2024-12-11 00:00:00+00:00,6.3961722388,6.4610320197,5.8274018525,5.9670998421,6974724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.685631306442668,5.551235249893025,5.201733506025196,5.116777808172221,5.060713469170427,4.998328797799977,,,,4.924613429525431,,,,,,,,,,,4.998328797799977,,"rgba(38, 166, 154, 1.0)"
2024-12-12 00:00:00+00:00,5.7575528577,6.2165605378,5.7575528577,6.146711543,6981992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.6901857809147245,5.5548219378930055,5.205807832759386,5.121016196836478,5.065088902897962,5.002865293705983,,,,4.928635168243033,,,,,,,,,,,5.002865293705983,,"rgba(38, 166, 154, 0.75)"
2024-12-13 00:00:00+00:00,5.5180705898,5.7475744298,5.4532108089,5.737596002,4824046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.68856824685413,5.554946119445619,5.207260165100439,5.122677356833376,5.066889097654238,5.004817389290087,,,,4.930445973515411,,,,,,,,,,,5.004817389290087,,"rgba(38, 166, 154, 0.75)"
2024-12-16 00:00:00+00:00,5.4681784506,5.5879195846,5.448221595,5.5380274454,4066254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.6864169447330255,5.554638972306068,5.208237806398024,5.1238472369349655,5.068183593964173,5.006246671370488,,,,4.93179543111157,,,,,,,,,,,5.006246671370488,,#000000
2024-12-17 00:00:00+00:00,5.3384588888,5.4182863115,5.268609894,5.388351028,4591124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.682000825798241,5.553268272044755,5.208737035251666,5.124604626842792,5.0691007535334105,5.007333470580747,,,,4.932886539260796,,,,,,,,,,,5.007333470580747,,"rgba(239, 83, 80, 0.5)"
2024-12-18 00:00:00+00:00,5.1388903322,5.4282647393,5.0889981931,5.3185020332,4639984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.676077835971039,5.551105042201053,5.208774600516183,5.12493401801522,5.0696059218404725,5.008023167008979,,,,4.933653257072196,,,,,,,,,,,5.008023167008979,,"rgba(239, 83, 80, 1.0)"
