date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_347,aVWAP_OB_bull_c0_184,aVWAP_OB_bull_c0_171,aVWAP_OB_bull_c0_134,aVWAP_OB_bull_c0_101,aVWAP_OB_bull_c0_89,aVWAP_OB_bear_c0_326,aVWAP_OB_bear_c0_293,aVWAP_QQEMOD_bull_dot_c0_148,aVWAP_QQEMOD_bull_dot_c0_219,aVWAP_QQEMOD_bull_dot_c0_285,aVWAP_QQEMOD_bull_dot_c0_326,aVWAP_QQEMOD_bull_dot_c0_359,aVWAP_QQEMOD_bear_dot_c0_159,aVWAP_QQEMOD_bear_dot_c0_245,aVWAP_QQEMOD_bear_dot_c0_309,aVWAP_QQEMOD_bear_dot_c0_338,aVWAP_QQEMOD_bear_dot_c0_369,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2026-01-05 00:00:00+00:00,38.9375109611,39.5900675335,38.0641645711,39.4870322852,1292455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.06514087336595,38.35652710209246,37.09638586686938,35.61792580882002,35.11495341855595,,,,39.48656579766213,,,,,37.87507341299392,,,,34.207414621417584,,#000000
2026-01-06 00:00:00+00:00,39.1533943385,39.3496519542,38.4763055642,39.0847041729,939999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.06429646719562,38.36314643639659,37.111183532323736,35.638646834056736,35.137268780938264,,,,39.47515627038379,,,,,37.966099945613855,,,,34.23227492324825,,"rgba(38, 166, 154, 0.5)"
2026-01-07 00:00:00+00:00,38.1034160943,39.9776763245,37.9267842401,39.2417102655,939240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.05972274689432,38.36629449589652,37.123235610670754,35.65712424843817,35.15745991654968,,,,39.456958538144946,,,,,38.01900121451211,,,,34.2551863753826,,#000000
2026-01-08 00:00:00+00:00,37.0926893733,38.6333116568,37.0239992078,38.0739774519,737019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.04642914452644,38.36002739488614,37.12601141210539,35.666295715967145,35.168293287732205,,,,39.42433642488796,,,,,37.99471610221756,,,,34.26861742400311,,"rgba(239, 83, 80, 1.0)"
2026-01-09 00:00:00+00:00,37.2987598698,37.8384683131,37.1319408964,37.5538947702,646012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.03371732204778,38.353499423794325,37.127573954338914,35.67359703187801,35.17708476050802,,,,39.39425341185437,,,,,37.96808636009117,,,,34.27973622435272,,"rgba(239, 83, 80, 1.0)"
2026-01-12 00:00:00+00:00,38.0151001672,38.1721062598,37.2987598698,37.2987598698,962834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.01981553823014,38.34810547676386,37.133027730329815,35.68686414785926,35.19240474272003,,,,39.35994646773517,,,,,37.95903430076114,,,,34.298282946667506,,"rgba(239, 83, 80, 1.0)"
2026-01-13 00:00:00+00:00,38.5351828489,38.5548086105,37.4361402008,37.563707651,1205826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.00778921876264,38.345910555429334,37.14308464652592,35.70590362835918,35.213833962586776,,,,39.32830638330548,,,,,37.97530160749464,,,,34.323493215877036,,#000000
2026-01-14 00:00:00+00:00,38.0347259288,38.8786336764,38.0052872864,38.5646214913,961104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.99991474240328,38.345512540182284,37.15196108622208,35.72166470938984,35.231439784966064,,,,39.30700030269111,,,,,37.99401255937088,,,,34.34402808275315,,#000000
2026-01-15 00:00:00+00:00,38.0641645711,38.7314404646,38.0445388096,38.6136858952,794084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.99330038320242,38.34497466165932,37.15902945209287,35.734413022537716,35.24571303262059,,,,39.28961251742906,,,,,38.006778922117256,,,,34.36072433656593,,#000000
2026-01-16 00:00:00+00:00,38.7510662262,39.035639769,37.7795910283,37.9267842401,1017136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.98781921290604,38.34681934509878,37.169882092777364,35.75209294765285,35.26524437744842,,,,39.273320511312996,,,,,38.03464607983715,,,,34.3832126990859,,#000000
2026-01-20 00:00:00+00:00,37.8090296707,38.5646214913,37.5735205318,38.2702350677,902385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.97754917859627,38.34348297065643,37.17558112638835,35.76457182339672,35.279538981487015,,,,39.24945881110433,,,,,38.03225381618082,,,,34.40038624443661,,#000000
