date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_63,aVWAP_QQEMOD_bear_dot_c0_113,aVWAP_QQEMOD_bear_dot_c0_150,aVWAP_QQEMOD_bear_dot_c0_224,aVWAP_QQEMOD_bear_dot_c0_250,aVWAP_QQEMOD_bear_dot_c0_330,aVWAP_QQEMOD_bear_dot_c0_379,aVWAP_QQEMOD_bear_dot_c0_453,aVWAP_QQEMOD_bear_dot_c0_472,aVWAP_QQEMOD_bear_dot_c0_504,aVWAP_QQEMOD_bear_dot_c0_531,aVWAP_QQEMOD_bear_dot_c0_597,aVWAP_QQEMOD_bear_dot_c0_646,aVWAP_QQEMOD_bear_dot_c0_677,aVWAP_QQEMOD_bear_dot_c0_721,aVWAP_QQEMOD_bear_dot_c0_746,aVWAP_QQEMOD_bear_dot_c0_861,aVWAP_QQEMOD_bear_dot_c0_896,aVWAP_QQEMOD_bear_dot_c0_953,aVWAP_QQEMOD_bear_dot_c0_1082,aVWAP_QQEMOD_bear_dot_c0_1111,aVWAP_QQEMOD_bear_dot_c0_1197,aVWAP_QQEMOD_bear_dot_c0_1231,aVWAP_QQEMOD_bear_dot_c0_1253,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_valley_c0_3,aVWAP_price_maxima_minima_valley_c0_4,aVWAP_price_maxima_minima_valley_c0_5,aVWAP_price_maxima_minima_valley_c0_6,aVWAP_price_maxima_minima_valley_c0_7,aVWAP_price_maxima_minima_valley_c0_8,aVWAP_price_maxima_minima_valley_c0_9,aVWAP_price_maxima_minima_valley_c0_10,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,aVWAP_price_maxima_minima_peak_c0_3,aVWAP_price_maxima_minima_peak_c0_4,aVWAP_price_maxima_minima_peak_c0_5,aVWAP_price_maxima_minima_peak_c0_6,aVWAP_price_maxima_minima_peak_c0_7,aVWAP_price_maxima_minima_peak_c0_8,aVWAP_price_maxima_minima_peak_c0_9,aVWAP_price_maxima_minima_peak_c0_10,color
2025-01-06 00:00:00+00:00,136.8729058226,138.4145595333,135.6655265411,136.1744219408,72962,,,,,,,,,,,,,,,,,143.3202469695839,,,,,,,,124.45004820654579,114.4137237878373,115.59293952595726,117.50514169678337,113.79519123620945,123.42698913911995,115.9644603536718,118.71287964019811,114.91213918059977,122.65444334904642,,,,,,114.16832080864896,144.47647467491123,140.67339209171325,,146.61568804543043,"rgba(239, 83, 80, 0.75)"
2025-01-07 00:00:00+00:00,135.775288294,138.4794187509,134.8473025652,137.0026242578,73804,,,,,,,,,,,,,,,,,143.1445225955096,,,,,,,,124.47677473690402,114.4423064819163,115.62140535969377,117.5356356377318,113.82374448027117,123.45518806000251,115.99281184280814,118.7427378011488,114.94069357780734,122.68356318935187,,,,,,114.19075347375728,144.32547547693957,140.5141312148666,,146.49968688372303,"rgba(239, 83, 80, 0.75)"
2025-01-08 00:00:00+00:00,134.5180173066,136.0297359938,133.420399778,135.7453532705,224333,,,,,,,,,,,,,,,,,142.53895209580222,,,,,,,,124.54569467243456,114.5219851217399,115.70035469684886,117.61935385968943,113.90353780910505,123.52889088860458,116.07130906352356,118.8241249268163,115.02012733088452,122.76034588420897,,,,,,114.25342157841233,143.80750692001834,139.92212080010046,,146.1057596341298,"rgba(239, 83, 80, 0.75)"
2025-01-10 00:00:00+00:00,130.5765725446,133.7696417189,129.5488034042,132.8815693548,81903,,,,,,,,,,,,,,,,,142.2536105589744,,,,,,,,124.56234551744691,114.54609387816076,115.72393892511893,117.64373149479422,113.92782897986771,123.54751122046156,116.09465561431536,118.84737395301596,115.04403710099214,122.78029050168935,,,,,,114.27245622364018,143.56755392002154,139.61525875175215,,145.92810562414178,"rgba(239, 83, 80, 1.0)"
2025-01-13 00:00:00+00:00,128.2815540757,130.4468541094,127.9123554524,129.3791716043,95374,,,,,,,,,,,,,,,,,141.8696435455612,,,,,,,,124.57470843068974,114.5700410111956,115.7470624304155,117.66700166133691,113.95210431067126,123.56235237765392,116.117442453225,118.8691012582347,115.0676622243344,122.79683858126282,,,,,,114.29142766980857,143.2466494567963,139.18814324440024,,145.69321270366646,"rgba(239, 83, 80, 1.0)"
2025-01-14 00:00:00+00:00,127.4533517586,129.2344856573,126.3756909123,128.301510758,115230,,,,,,,,,,,,,,,,,141.39418712907042,127.68784277606666,,,,,,,124.58544043940593,114.59646523086495,115.77236510368482,117.69201213968145,113.97899426406512,123.57617754497649,116.14230312196769,118.89211501745778,115.09364364091655,122.81281696362274,,,,,,114.31241508315294,142.84649293022574,138.66067371886498,,145.39838538928612,"rgba(239, 83, 80, 1.0)"
2025-01-15 00:00:00+00:00,134.7974108594,134.9171509534,130.1574822155,130.7262476622,154441,,,,,,,,,,,,,,,,,,130.89659711405523,,,,,,,124.62547720592778,114.64680073974722,115.82197763885685,117.74401797301506,114.02953217366391,123.61961518409507,116.19154511665009,118.94230082080975,115.14371602967246,122.85849497143991,,,,,,114.35218117807727,142.5280731573862,138.34968123072593,,145.13837158706093,"rgba(239, 83, 80, 0.75)"
2025-01-16 00:00:00+00:00,136.5535989052,137.1173751813,134.1488186833,135.2663928943,55418,,,,,,,,,,,,,,,,,,131.7563354412176,,,,,,,124.64411883678129,114.66735375552834,115.84240113004601,117.76576036665978,114.0500876693312,123.6393511967071,116.21187267274347,118.96353304141823,115.16422961402873,122.87892642214224,,,,,,114.36840023567098,142.45022978914173,138.30062389256557,,145.06803144153346,"rgba(239, 83, 80, 0.75)"
2025-01-17 00:00:00+00:00,137.6113030692,139.6468846678,135.8850500468,137.4017579046,51096,,,,,,,,,,,,,,,,,,132.56560191975666,,,,,,,124.66394380412827,114.68784655439327,115.86285448951658,117.78771392446035,114.07053950745393,123.66010907491007,116.23226033405889,118.98510377174922,115.1847199263185,122.90025965450285,,,,,,114.38456116269109,142.3991929300128,138.28982334041223,,145.01654712685354,"rgba(239, 83, 80, 0.5)"
2025-01-21 00:00:00+00:00,140.0559966557,140.9789932139,139.6019821325,139.6967763736,69920,,,,,,,,,,,,,,,,,,133.7641063254449,,,,,,,124.69614902759605,114.71886564331861,115.89397341251886,117.82143312295494,114.1014193205189,123.69344616734304,116.26333306209294,119.01846697353118,115.21580075794834,122.93425852681725,,,,,,114.40900355274437,142.36741186063077,138.33710134430407,,144.97095702618537,#000000
2025-01-22 00:00:00+00:00,139.956213244,141.1236791609,138.5093537744,140.0659749969,79477,,,,,,,,,,,,,,,,,,134.6863759131338,,,,,,,124.73177425761148,114.75355137175788,115.92874276024978,117.85904238465606,114.13596316199707,123.7303795235248,116.29804167726942,119.05564046270128,115.25054395680539,122.97196484053413,,,,,,114.43635544518364,142.32671491782313,138.37859754653817,,144.9164480306515,"rgba(38, 166, 154, 1.0)"
2025-01-23 00:00:00+00:00,141.9219464544,142.2063291778,139.5570795972,139.7067547148,44133,,,,,,,,,,,,,,,,,,135.19315813337616,,,,,,,124.7532630638297,114.77381589944723,115.94910532533521,117.88116360872098,114.1561210196108,123.75254516135615,116.3183852288413,119.07757620464233,115.2708622454207,122.99451708016795,,,,,,114.45233260638567,142.31689297875351,138.42099063329485,,144.89472229870242,"rgba(38, 166, 154, 1.0)"
2025-01-24 00:00:00+00:00,141.0438524315,142.2487371277,140.4401627907,141.5228128076,51068,,,,,,,,,,,,,,,,,,135.69094431541774,,,,,,,124.77808260518897,114.79724006572408,115.97264146640244,117.9067260077637,114.17942264132185,123.77814701813521,116.34189904480789,119.10292285834338,115.29434797679994,123.02056626010902,,,,,,114.47080752565108,142.3059064650493,138.46876520183915,,144.87000688254753,"rgba(38, 166, 154, 1.0)"
2025-01-27 00:00:00+00:00,143.9176146883,144.0273764412,139.6967763736,140.3952602555,126577,,,,,,,,,,,,,,,,,,136.85216694324635,,,,,,,124.84412201515947,114.85797250569632,116.03378782005848,117.97336849417765,114.23977778026652,123.845991763257,116.40302907592235,119.16918031961683,115.35529072292604,123.089405857737,,,,,,114.518713007129,142.3118818975439,138.63294043449991,,144.83167147913866,"rgba(38, 166, 154, 1.0)"
2025-01-28 00:00:00+00:00,143.3887626063,143.7878962531,142.5855061422,143.0395206654,56528,,,,,,,,,,,,,,,,,,137.30233652918656,,,,,,,124.87462741813404,114.88569935232584,116.06172990177674,118.00386672119781,114.26731982720553,123.87727149873919,116.43097265588136,119.19954035900399,115.3831243282648,123.1211034278978,,,,,,114.54059250894628,142.32218545311315,138.7145471252348,,144.82012848879344,"rgba(38, 166, 154, 1.0)"
2025-01-29 00:00:00+00:00,140.4551303025,143.8577446413,140.1757367498,143.6781345003,124127,,,,,,,,,,,,,,,,,,137.86328885740556,,,,,,,124.93488644028068,114.94263281860962,116.11893226115544,118.06593442118754,114.32395844234647,123.93940543051052,116.48812107204655,119.26108638385259,115.4402057591305,123.1843113005008,,,,,,114.58558575965945,142.30281571995727,138.8183866299913,,144.76756930712645,"rgba(38, 166, 154, 1.0)"
2025-01-30 00:00:00+00:00,142.8798672067,144.2768349704,141.3681485195,142.2113183483,101013,,,,,,,,,,,,,,,,,,138.35197901010508,,,,,,,124.98756061954163,114.99112351491092,116.16775117947057,118.11908932139204,114.37215023977497,123.99349683981634,116.53692746049802,119.31393702257179,115.48886315085964,123.23918476999346,,,,,,114.62391505504033,142.31290552904022,138.93700393929225,,144.74310115474916,"rgba(38, 166, 154, 1.0)"
2025-01-31 00:00:00+00:00,142.0416865485,143.0993907124,141.4429860783,142.5505819481,124591,,,,,,,,,,,,,,,,,,138.76699205021345,,,,,,,125.04976577743982,115.04931711292558,116.22626561648768,118.18263067324514,114.4300212581706,124.05751374892957,116.59540319284464,119.3770149506329,115.54722662500582,123.30422624801567,,,,,,114.66996742580673,142.3102366462386,139.05131251457803,,144.70378397667005,"rgba(38, 166, 154, 1.0)"
2025-02-03 00:00:00+00:00,138.9982924917,139.8165164676,136.6334256346,138.9084874212,113820,,,,,,,,,,,,,,,,,,138.74146576085138,,,,,,,125.09398288796568,115.09502269409738,116.27188372598998,118.23145810614567,114.4756392434571,124.10371528158737,116.64087880720035,119.42501153193749,115.59292591054519,123.35165668872637,,,,,,114.70624872401419,142.23289256256678,139.03365291284413,,144.61732124514302,"rgba(38, 166, 154, 0.75)"
2025-02-04 00:00:00+00:00,142.9996073007,143.3288925593,138.8785523977,138.8785523977,114647,,,,,,,,,,,,,,,,,,138.98984259725074,,,,,,,125.14897777182453,115.14725872223093,116.32434664560732,118.28826546027106,114.52761653565774,124.16041484349427,116.69328776885298,119.48132417240349,115.64528904328405,123.40933967423291,,,,,,114.74766660367872,142.22297409779895,139.11562279736896,,144.5775369451099,"rgba(38, 166, 154, 0.75)"
2025-02-05 00:00:00+00:00,145.603954346,145.6239110283,143.2889791946,144.0872464882,162143,,,,,,,,,,,,,,,,,,139.60399472628453,,,,,,,125.24057453185762,115.22936812661806,116.40719205147245,118.37871114432252,114.60913538708705,124.25403372978995,116.77617503585434,119.57152068931501,115.72775405885106,123.50401436189075,,,,,,114.81273752039341,142.29475220519663,139.35107540923352,,144.58254344252637,"rgba(38, 166, 154, 0.75)"
2025-02-06 00:00:00+00:00,135.775288294,141.4529644195,128.2017273463,141.4529644195,529028,,,,,,,,,,,,,,,,,,138.46577679589856,,,,,,,125.3886316189639,115.40743990322309,116.5831318571464,118.56299438444952,114.78774996495619,124.41254334752342,116.95097672814109,119.75016512386499,115.90506174733378,123.66940539674623,,,,,,114.95517466577365,141.70713449668838,138.85312526801732,,144.0274034819724,"rgba(38, 166, 154, 0.75)"
2025-02-07 00:00:00+00:00,134.9869993416,135.715418247,132.2728905435,135.1167177768,297805,,,,,,,,,,,,,,,,,,137.94570880697944,,,,,,,125.46321683811964,115.50218956259471,116.67642497529849,118.65992941937662,114.88294997078187,124.49310917048834,117.04356151229405,119.8436873515505,115.9992711782664,123.75396437469945,,,,,,115.03126774915725,141.38077663165055,138.5703188896987,,143.7164830330609,#000000
2025-02-10 00:00:00+00:00,134.837324224,136.3440537406,131.7041250968,135.0069560239,233964,,,,,,,,,,,,,,,,,,137.61784443919052,,,,,,,125.52075050404824,115.57584711974293,116.74891016820695,118.73510811241086,114.95697934794316,124.5553012531419,117.11548468728101,119.91617328014131,116.07249172947013,123.81927531406969,,,,,,115.09053846257436,141.14293693487878,138.3703577779409,,143.48511433892116,"rgba(239, 83, 80, 0.5)"
2025-02-11 00:00:00+00:00,133.0013094488,134.7874325182,130.7661610269,133.7895984012,127400,,,,,,,,,,,,,,,,,,137.3956187804736,,,,,,,125.54666270645313,115.61263917434376,116.78490352016533,118.77197214933756,114.99406208213921,124.58386574562194,117.151127615386,119.95140705077095,116.108977545479,123.84964599830553,,,,,,115.12024548234095,140.9941091637455,138.23329154241796,,143.34479428648382,"rgba(239, 83, 80, 0.5)"
2025-02-12 00:00:00+00:00,130.1674605567,132.1032587436,129.6610597423,130.7960960504,97335,,,,,,,,,,,,,,,,,,137.16338150567896,,,,,,,125.56039090183152,115.63705693899074,116.8085308217083,118.79561126651232,115.01880047878167,124.59976497185184,117.17443672278952,119.97361221658049,116.13308473076285,123.86705533440575,,,,,,115.14005751418848,140.85408807869683,138.091961919165,,143.21802305162942,"rgba(239, 83, 80, 1.0)"
2025-02-13 00:00:00+00:00,131.8637785555,131.8637785555,129.5088900395,130.3570490389,83527,,,,,,,,,,,,,,,,,,136.98893066983817,,,,,,,125.57311557859533,115.65855302314895,116.82937751161414,118.81656382801532,115.04055632881634,124.61431928021966,117.19501882367845,119.99336758267806,116.1543264823984,123.88287815788456,,,,,,115.157494494059,140.74190706678195,137.98165234826286,,143.11492951091566,"rgba(239, 83, 80, 1.0)"
2025-02-14 00:00:00+00:00,131.4147532029,134.0889486363,131.2351430618,132.2130204965,102634,,,,,,,,,,,,,,,,,,136.82753490390706,,,,,,,125.59196939078345,115.68687813609424,116.85700154807223,118.84465354586567,115.06914836997706,124.63532723059116,117.2223454619184,120.02009235707555,116.18238008053207,123.90536460632804,,,,,,115.18043531663804,140.62377469188118,137.87290651221443,,143.00268309022266,"rgba(239, 83, 80, 1.0)"
