date,Close,High,Low,Open,Volume,aVWAP_peak_914,aVWAP_valley_904
2023-08-22 00:00:00+00:00,4.08,4.178,4.02,4.14,1726407,,
2023-08-23 00:00:00+00:00,4.06,4.15,4.05,4.07,1702034,,
2023-08-24 00:00:00+00:00,3.94,4.08,3.9,4.07,2603796,,
2023-08-25 00:00:00+00:00,4.1,4.1196,3.945,3.96,1587276,,
2023-08-28 00:00:00+00:00,4.17,4.26,4.13,4.13,1735939,,
2023-08-29 00:00:00+00:00,4.32,4.33,4.14,4.17,2117104,,
2023-08-30 00:00:00+00:00,4.255,4.31,4.215,4.26,1413585,,
2023-08-31 00:00:00+00:00,4.2,4.31,4.155,4.24,1532036,,
2023-09-01 00:00:00+00:00,4.23,4.33,4.2,4.24,1314379,,
2023-09-05 00:00:00+00:00,4.27,4.27,4.125,4.18,1948185,,
2023-09-06 00:00:00+00:00,4.13,4.2493,4.1001,4.19,1077000,,
2023-09-07 00:00:00+00:00,4.11,4.12,3.95,4.1,2165405,,
2023-09-08 00:00:00+00:00,4.03,4.105,3.9726,4.07,1822281,,
2023-09-11 00:00:00+00:00,4.06,4.11,3.92,4.04,1422464,,
2023-09-12 00:00:00+00:00,4.04,4.13,3.98,3.98,1558171,,
2023-09-13 00:00:00+00:00,4.0,4.05,3.9521,4.05,1912941,,
2023-09-14 00:00:00+00:00,4.31,4.335,4.02,4.03,4085644,,
2023-09-15 00:00:00+00:00,4.21,4.34,4.2,4.3,1393632,,
2023-09-18 00:00:00+00:00,3.99,4.23,3.98,4.23,1230427,,
2023-09-19 00:00:00+00:00,3.98,4.04,3.91,3.98,1948286,,
2023-09-20 00:00:00+00:00,3.96,4.09,3.94,4.0,2012216,,
2023-09-21 00:00:00+00:00,3.69,3.9,3.68,3.9,2596042,,
2023-09-22 00:00:00+00:00,3.65,3.715,3.5914,3.7,2607888,,
2023-09-25 00:00:00+00:00,3.61,3.72,3.58,3.6,1412545,,
2023-09-26 00:00:00+00:00,3.58,3.59,3.5,3.54,2554558,,
2023-09-27 00:00:00+00:00,3.56,3.665,3.55,3.59,1396541,,
2023-09-28 00:00:00+00:00,3.59,3.65,3.46,3.56,1771180,,
2023-09-29 00:00:00+00:00,3.67,3.695,3.58,3.65,2291784,,
2023-10-02 00:00:00+00:00,3.43,3.685,3.4015,3.68,1718148,,
2023-10-03 00:00:00+00:00,3.4,3.47,3.31,3.37,2118254,,
