date,Close,High,Low,Open,Volume,aVWAP_peak_876,aVWAP_valley_870,SMA_50
2022-05-04 00:00:00+00:00,6.21,6.3,5.685,6.27,63420,,,6.994800000000001
2022-05-05 00:00:00+00:00,5.58,6.03,5.25,6.03,227813,,,6.9834000000000005
2022-05-06 00:00:00+00:00,5.37,5.55,5.205,5.34,65354,,,6.9558
2022-05-09 00:00:00+00:00,4.74,5.25,4.71,5.25,108077,,,6.9144000000000005
2022-05-10 00:00:00+00:00,4.44,4.8048,4.395,4.8,92293,,,6.8658
2022-05-11 00:00:00+00:00,4.08,4.4958,4.08,4.26,151211,,,6.8112
2022-05-12 00:00:00+00:00,3.12,3.66,2.55,3.405,825767,,,6.7374
2022-05-13 00:00:00+00:00,3.345,3.57,3.0,3.12,399507,,,6.6753
2022-05-16 00:00:00+00:00,3.18,3.39,3.15,3.27,148732,,,6.6183
2022-05-17 00:00:00+00:00,3.66,3.84,3.24,3.24,121544,,,6.5714999999999995
2022-05-18 00:00:00+00:00,3.36,3.72,3.24,3.69,145692,,,6.521100000000001
2022-05-19 00:00:00+00:00,3.51,3.66,3.27,3.27,53446,,,6.459300000000001
2022-05-20 00:00:00+00:00,3.48,3.6,3.255,3.57,45945,,,6.404699999999999
2022-05-23 00:00:00+00:00,3.48,3.54,3.39,3.54,28899,,,6.3530999999999995
2022-05-24 00:00:00+00:00,3.18,3.45,3.15,3.39,86775,,,6.3021
2022-05-25 00:00:00+00:00,3.24,3.33,3.03,3.21,105856,,,6.2457
2022-05-26 00:00:00+00:00,3.36,3.51,3.27,3.27,152091,,,6.184500000000001
2022-05-27 00:00:00+00:00,3.57,3.6,3.36,3.36,70948,,,6.116700000000001
2022-05-31 00:00:00+00:00,4.02,4.17,3.87,3.99,189815,,,6.0495
2022-06-01 00:00:00+00:00,3.72,4.14,3.66,4.11,63884,,,5.9853000000000005
2022-06-02 00:00:00+00:00,4.14,4.29,3.63,3.66,101483,,,5.9223
