date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_68,Gap_Down_aVWAP_32,aVWAP_OB_bear_135,aVWAP_OB_bear_70,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-10-04 00:00:00+00:00,0.414,0.532399,0.3811,0.506,1088505,3.115608757686177,3.2861132666537216,3.0315352667318356,3.115325082761831,"rgba(239, 83, 80, 0.5)",0.0,0.0,3.4764928806212843,3.1188144910920417,-0.7780296361799722,0.0,0.0,0.0,0.0,-1.0,0.45,0.43,146.0,39.17842838978692,-6.240435891736496,True,False,False,True,False,0.0,0,0.9604693821219149,1.038572644695487,False,False,False,False,-0.34282825441539394,-0.3391582426163552,False,False,False,False,98300799,82388614.45584552,False,False,False,False,10028025.367858408,False,False,False,False
2024-10-11 00:00:00+00:00,0.398,0.43,0.335,0.4247,747828,3.108265319344701,3.278443046720076,3.0089682063769647,3.107982052775408,"rgba(239, 83, 80, 0.5)",0.0,0.0,3.408930353333042,3.1071720639193856,-0.794727900870877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.29289689381538,-7.100739158049713,True,False,False,True,False,0.0,0,0.9587993713549546,1.0378235279364354,False,False,False,False,-0.34282825441539394,-0.34099324851587454,False,False,False,False,97552971,83511900.12578289,True,False,False,False,9340603.340609636,True,False,False,False
2024-10-18 00:00:00+00:00,1.77,3.5,0.25,0.4148,319413408,2.429950503817217,2.5152301008066766,2.0916211430452494,2.429803475466916,"rgba(239, 83, 80, 0.5)",0.0,0.0,3.331993346629529,2.0505675578794027,-0.08420411708300986,0.0,0.0,0.0,0.0,1.0,0.9101,0.43,148.0,41.7948116036394,-7.100739158049713,True,False,False,True,True,0.0,1,0.9598851093485787,0.9269908990144132,False,False,False,False,-0.14754012642143166,-0.2442666874686531,False,False,False,False,416966379,108212231.89424342,False,False,False,False,32308959.241305217,False,False,False,False
2024-10-25 00:00:00+00:00,0.95,2.2,0.9101,1.86,19975115,2.3951073889145227,2.4779164378403173,2.0570855948618934,2.39496436035088,"rgba(239, 83, 80, 0.5)",0.0,0.0,3.2523538864219543,2.0182998156258805,-0.3284697339013007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.46756702503645,-7.100739158049713,True,False,False,True,True,0.0,1,0.9893186320139713,0.9932722024541503,False,False,False,False,-0.18800477343816172,-0.2161357304534074,False,False,False,False,396991264,129603271.30948465,False,False,False,False,31395341.149356686,False,False,False,False
2024-11-01 00:00:00+00:00,0.7604,0.99,0.661,0.9456,11354647,2.3663605352695605,2.4479022922898652,2.024621974444486,2.366219475818621,"rgba(239, 83, 80, 0.5)",0.0,0.0,3.1234267916132175,1.9862140181519918,-0.3924580596681351,0.0,0.0,0.0,0.0,-1.0,0.9101,0.7694,152.0,42.564484050473325,-7.100739158049713,True,False,False,True,True,0.0,1,0.9738633874834297,1.024185586366039,False,False,False,False,-0.28283587853860825,-0.24948580449600782,False,False,False,False,385636617,148568704.3235969,False,False,False,False,29910845.286441375,False,False,False,False
2024-11-08 00:00:00+00:00,0.7022,0.7694,0.601,0.6922,1668200,2.3619254451958045,2.4432864289173253,2.019565498602736,2.3617846645499823,"rgba(239, 83, 80, 0.5)",0.0,0.0,3.039788167312783,1.9811946205486604,-0.42075123335956344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.512590213946915,-7.100739158049713,True,False,False,True,True,0.0,1,0.9681037476247484,1.0874352341132394,False,False,False,False,-0.3016034699252929,-0.27554463721065037,False,False,False,False,383968417,166005720.07740453,False,False,False,False,27818797.487445716,False,False,False,False
2024-11-15 00:00:00+00:00,0.5796,0.7011,0.5536,0.6981,810283,2.359677683089638,2.440951907773667,2.016977257031268,2.3595370353415377,"rgba(239, 83, 80, 0.5)",0.0,0.0,2.943795212177218,1.9786163997020758,-0.47524243327625004,0.0,0.0,0.0,0.0,-1.0,0.601,0.59,152.0,42.21077980453188,-7.100739158049713,True,False,False,True,True,0.0,0,0.9410928489130863,1.0795968071505655,False,False,False,False,-0.3094016831345551,-0.2924731601726027,False,False,False,False,383158134,182091084.07167086,False,False,False,False,25818166.78467196,False,False,False,False
2024-11-22 00:00:00+00:00,0.59,0.59,0.5049,0.567,525417,2.3581818039040128,2.4394001775169287,2.0152447416250405,2.3580412413332033,"rgba(239, 83, 80, 0.5)",0.0,0.0,2.8646438694548197,1.5287840471362526,-0.32771405100170997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.02837200394859,-7.100739158049713,True,False,False,True,True,0.0,0,0.9381654209182368,1.085426672103433,False,False,False,False,-0.32023276502655207,-0.3063529625995774,False,False,False,False,383683551,197023859.39969522,False,False,False,False,23944629.763585147,False,False,False,False
2024-11-29 00:00:00+00:00,0.853,1.91,0.59,0.622,119765769,2.160433825818996,2.2300396346892923,1.8236670305395466,2.160312132678126,"rgba(239, 83, 80, 0.5)",0.0,0.0,2.7676221892398263,1.3604033847549932,-0.1833354952593295,0.0,0.0,0.0,0.0,1.0,0.73,0.59,155.0,42.749322182024436,-7.100739158049713,True,False,False,True,True,0.0,1,0.9565666772963675,0.9995278524316813,False,False,False,False,-0.227158431224296,-0.2667556969119367,False,False,False,False,503449320,219722041.66638446,False,False,False,False,31042491.929245505,False,False,False,False
2024-12-06 00:00:00+00:00,0.801,0.9199,0.73,0.8347,2224481,2.156467858954464,2.2258945282666693,1.8196919065024693,2.1563464543201305,"rgba(239, 83, 80, 0.5)",0.0,0.0,2.673411425004693,1.3558378119374186,-0.20753925368462303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.128253914350346,-10.996718952454742,True,False,False,True,True,0.0,0,0.9612052435046862,1.057854732248482,False,False,False,False,-0.28290906515116515,-0.27483238103155094,False,False,False,False,501224839,240574100.72813377,False,False,False,False,28907824.453005098,False,False,False,False
