date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_884,Gap_Up_aVWAP_877,Gap_Up_aVWAP_870,Gap_Up_aVWAP_841,Gap_Up_aVWAP_828,Gap_Up_aVWAP_827,Gap_Up_aVWAP_774,Gap_Up_aVWAP_716,Gap_Up_aVWAP_714,Gap_Up_aVWAP_679,Gap_Down_aVWAP_864,Gap_Down_aVWAP_849,Gap_Down_aVWAP_833,Gap_Down_aVWAP_816,Gap_Down_aVWAP_812,Gap_Down_aVWAP_810,Gap_Down_aVWAP_793,Gap_Down_aVWAP_785,Gap_Down_aVWAP_776,Gap_Down_aVWAP_773,aVWAP_OB_bull_711,aVWAP_OB_bear_731,aVWAP_OB_bear_152,aVWAP_OB_bear_63,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-11-21 00:00:00+00:00,17.67,17.845,17.44,17.71,676508,,,,,,,,17.584591491164346,17.288566043128903,16.00713038105322,,,,,,,,,,,16.899476826862067,,15.567598262384916,16.63499460922441,"rgba(38, 166, 154, 0.75)",0.0,0.0,1.7988784493889203,15.084452890958246,1.4373106253621897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.18244169285477,25.682986166630172,True,False,True,False,False,15.038613609018107,0,1.12720834816494,0.8149015493564643,False,False,False,False,0.22766250879997335,0.22763922191111374,False,False,False,False,-13679261,-21271556.014425907,False,False,False,False,961921.2795697461,False,False,False,False
2024-11-22 00:00:00+00:00,17.74,17.86,17.56,17.59,491858,,,,,,,,17.589318207808848,17.30145469349971,16.024292839123515,,,,,,,,,,,16.91985187715302,,15.56940623110907,16.635763646127362,"rgba(38, 166, 154, 0.5)",0.0,0.0,1.8124540926153265,15.096342362481485,1.4586066749441255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.1893308622908,25.119469695030062,False,False,True,False,False,15.36635960502987,0,1.1299773055498246,0.8193821857943997,False,False,False,False,0.23559890974560607,0.2316190658283599,False,False,False,False,-13187403,-20954530.40601705,False,False,False,False,943487.4254689717,False,False,False,False
2024-11-25 00:00:00+00:00,17.86,17.98,17.435,17.9,773704,,,,,,,,17.598115702639802,17.32196090911867,16.051199381064308,,,,,,,,,,,16.951372542390327,,15.57229465231218,16.63701384688122,"rgba(38, 166, 154, 0.5)",0.0,0.0,1.82267623253524,15.11522427017602,1.505904164891727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69059894553558,25.01833567802737,False,False,True,False,False,15.931142364723655,0,1.1262405273055653,0.8151079002737072,False,False,False,False,0.22568311251791814,0.22865108917313903,False,False,False,False,-12413699,-20619595.841075208,False,False,False,False,936829.251921169,False,False,False,False
2024-11-26 00:00:00+00:00,18.25,18.49,17.4,17.4,744550,,,,,,,,17.61951195328431,17.351966427860976,16.0805573054137,,,,,,,,,,,16.989612566154438,,15.575432718598288,16.638522996987493,"rgba(38, 166, 154, 0.75)",0.0,0.0,1.8405640831398262,15.13654895348283,1.691574379309804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.49101116232109,25.01833567802737,True,False,True,False,False,17.72991078362213,0,1.1094976952648168,0.8132526827846304,False,False,False,False,0.2528744800097347,0.24076278459143688,False,False,False,False,-11669149,-20268597.925738927,False,False,False,False,929288.889100731,False,False,False,False
2024-11-27 00:00:00+00:00,18.77,18.835,18.18,18.18,961476,,,,,,,,17.67611399529715,17.41505432070339,16.127437931235466,,,,,,,,,,,17.058869015887588,,15.580369861919694,16.64122409040557,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.8756049066277174,15.171482345822241,1.9185904459206111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.23975027488095,25.01833567802737,True,False,True,False,True,20.0,0,1.1311339012787816,0.8117098051983288,False,False,False,False,0.3295237388270797,0.2851432617092583,False,False,False,False,-10707673,-19893659.69335701,False,False,False,False,930551.1287438397,False,False,False,False
2024-11-29 00:00:00+00:00,18.8,18.96,18.46,18.46,321347,,,,,,,,17.696353476673494,17.43715430413517,16.14361709981882,,,,,,,,,,,17.082763662644773,18.740000000000002,15.582095563945213,16.642192070400004,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.9071422609768274,15.364890021679718,1.801181825083588,-1.0,18.96,18.46,0.0,0.0,0.0,0.0,0.0,73.1532977592082,25.01833567802737,True,False,True,False,True,20.0,0,1.1356839747208918,0.8293478062906368,False,False,False,False,0.342828239497819,0.3139857506035386,False,False,False,False,-10386326,-19520823.077931244,False,False,False,False,906660.7707538853,False,False,False,False
2024-12-02 00:00:00+00:00,17.12,18.61,17.12,18.5,1699357,,,,,,,,17.68906947448464,17.451705108447893,16.190328455846444,,,,,,,,,,,17.120088430766952,17.795307277397715,15.587955059782894,16.64456302509886,"rgba(38, 166, 154, 0.5)",0.0,0.0,1.9082233140323008,15.349786778710694,0.9276761311277755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.37815948526274,21.924798546052926,False,False,True,False,False,8.930619753547212,0,1.0724121763592476,0.8424991751610607,False,False,False,False,0.22121280385051553,0.2675992772270271,False,False,False,False,-12085683,-19229248.95722806,False,False,False,False,937746.8973909878,False,False,False,False
2024-12-03 00:00:00+00:00,17.36,17.53,16.8599,16.9,575468,,,,,,,,17.67588548026051,17.446315496357247,16.201586436320017,,,,,,,,,,,17.123092057935246,17.674426969553636,15.589574387082843,16.645061423496227,"rgba(38, 166, 154, 0.5)",0.0,0.0,1.9117137729141747,15.351456984931218,1.0506504914734187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.555751448804244,17.52756548616155,False,True,True,False,False,10.045917533753315,0,1.0637494188749417,0.8760836273142449,False,False,False,False,0.1290099269389374,0.19830460208298223,False,False,False,False,-11510215,-18926541.74321912,False,False,False,False,923539.8818070276,False,False,False,False
2024-12-04 00:00:00+00:00,17.25,17.89,17.24,17.5,796132,,,,,,,,17.667275680690032,17.446803249150946,16.219815033359854,,,,,,,,,,,17.133537034403446,17.624103598734077,15.592092179534507,16.64598852233759,"rgba(38, 166, 154, 0.5)",0.0,0.0,1.9153742795158415,15.361914868105398,0.9857525769698978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.86828001718709,14.221204462090853,False,True,True,False,False,9.379748868103373,0,1.0777852181029874,0.867596030924697,False,False,False,False,0.13149090215888315,0.1648977521209327,False,False,False,False,-12306347,-18666926.263092875,False,False,False,False,918543.4942851835,False,False,False,False
2024-12-05 00:00:00+00:00,17.09,17.47,17.085,17.27,534474,,,,,,,,17.655482266826805,17.441386207399628,16.22939959446178,,,,,,,,,,,17.13519796575203,17.568420482237602,15.593557466041752,16.646422764643685,#000000,0.0,0.0,1.9106820347294928,15.366014276957525,0.9022881315187276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.70731833879205,11.356290583110884,False,True,False,False,False,8.410020324884094,0,1.0705875503936895,0.9579749377810768,False,False,False,False,0.08088123730875034,0.12288949471484151,False,False,False,False,-12840821,-18438451.546893157,False,False,False,False,903481.9454896862,False,False,False,False
