date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_882,Gap_Up_aVWAP_844,Gap_Up_aVWAP_836,Gap_Up_aVWAP_821,Gap_Up_aVWAP_762,Gap_Up_aVWAP_761,Gap_Up_aVWAP_753,Gap_Up_aVWAP_737,Gap_Up_aVWAP_676,Gap_Up_aVWAP_671,Gap_Down_aVWAP_843,Gap_Down_aVWAP_759,Gap_Down_aVWAP_728,Gap_Down_aVWAP_711,Gap_Down_aVWAP_649,Gap_Down_aVWAP_610,Gap_Down_aVWAP_607,Gap_Down_aVWAP_583,Gap_Down_aVWAP_577,Gap_Down_aVWAP_221,aVWAP_OB_bull_896,aVWAP_OB_bull_751,aVWAP_OB_bull_649,aVWAP_OB_bull_585,aVWAP_OB_bull_538,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-12 00:00:00+00:00,2.4,2.5973,2.33,2.59,4757105,,,2.452661258109243,2.180324134868242,1.78783765859454,1.7814241498218166,1.7570490814263402,1.699623156741326,1.5473317292629891,1.5425058667942766,,1.776049913101703,1.6753520290386121,1.5951652877544553,1.5082845527010689,1.466633036792521,1.4615510623621957,1.4247800726130135,1.41949438983803,1.1883601588825157,,1.7488269109556043,1.5082845527010689,1.4264711264639114,1.3627960643559254,"rgba(38, 166, 154, 0.75)",0.0,0.0,0.3880873868342301,1.6403111186884036,1.9575201541813936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.47785040587905,17.499994978021988,True,False,True,False,False,16.304795056442032,0,1.0872649875842497,0.7670437376006727,False,False,False,False,0.29797854476071534,0.31824417654883297,False,False,False,False,27181294,20422318.415972725,False,False,False,False,3578887.457343013,False,False,False,False
2025-05-13 00:00:00+00:00,2.43,2.5,2.3601,2.5,2697262,,,2.450612695320494,2.187898985094962,1.7952012161243704,1.7888002590085583,1.76448390093853,1.7070903845323133,1.5536373301914659,1.5487949577672195,,1.7834415056721218,1.6827607056848857,1.6021559845469195,1.5144299177995946,1.4725443593556042,1.467430120420971,1.4304494167201915,1.4251506001856167,1.1932430005112211,,1.7562832839060984,1.5144299177995946,1.4321445921419211,1.368310606103917,"rgba(38, 166, 154, 0.75)",0.0,0.0,0.3923604704079405,1.6470704014433974,1.9954344476715105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.46922900035047,21.330778166823762,True,False,True,False,False,16.82142365524443,0,1.0827938182008041,0.7890930924659324,False,False,False,False,0.27979794516898937,0.29902106085891117,False,False,False,False,29878556,20793151.262405165,False,False,False,False,3544313.9099962283,False,False,False,False
2025-05-14 00:00:00+00:00,2.28,2.35,2.185,2.27,4246495,,,2.428289016209157,2.191717218418541,1.8036499027255253,1.7972934691483582,1.773154493509285,1.716033487658344,1.5616228864979058,1.5567704329319452,2.2716666666666665,1.791977201796863,1.6917240393542121,1.6108672205648693,1.5222956560351621,1.4801901673893778,1.4750434827470422,1.4378528623496272,1.4325450335230034,1.1998786239214265,,1.765014332777876,1.5222956560351621,1.4395507919510364,1.375600080456318,"rgba(38, 166, 154, 0.75)",0.0,0.0,0.391966076855392,1.6550341046568242,1.594438733976829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.00842419421684,17.192081747759772,True,False,True,False,False,12.875161913736822,0,1.0561397666286678,0.7981632574641682,False,False,False,False,0.18435901476859196,0.24169003781375156,False,False,False,False,25632061,20982912.428585354,False,False,False,False,3571850.42332971,False,False,False,False
2025-05-15 00:00:00+00:00,2.67,2.7,2.3713,2.38,6192095,,2.5804333333333336,2.4517055674120987,2.2159430616751865,1.823228349880121,1.8168770860533299,1.7927890638874668,1.7355485565168427,1.5778812535351894,1.5729783785091105,2.4548247879103724,1.8115778528183968,1.7110195870201157,1.628920002682995,1.5380836961223732,1.4953288707438361,1.490094339827603,1.4523299635983395,1.4469821186969107,1.2121551002993787,,1.7846717285623073,1.5380836961223732,1.454040517845855,1.3896117836315263,"rgba(38, 166, 154, 0.75)",0.0,0.0,0.40140393261292145,1.6728650298225674,2.4841185876945096,0.0,0.0,0.0,0.0,1.0,2.51,2.35,0.0,63.72823468941875,17.192081747759772,True,False,True,False,False,19.233748510478467,0,1.0559103269228403,0.7681271763070148,False,False,False,False,0.3371623954192647,0.28942621661650814,False,False,False,False,31824156,21408059.2353075,False,False,False,False,3674605.112610898,False,False,False,False
2025-05-16 00:00:00+00:00,2.67,2.67,2.51,2.62,5003319,,2.5966262963715914,2.469951377631587,2.2351551507620497,1.839064740316221,1.8327173402758172,1.808668274649805,1.7513340821422898,1.5911053421658954,1.5861622045867658,2.507263028996825,1.827431170187469,1.7266339383574254,1.6435602240347285,1.550932289916382,1.5076586490493524,1.502353859749441,1.4641296450256844,1.4587494500662626,1.2221748452046457,,1.8005684716264747,1.550932289916382,1.4658504066278932,1.4010349522549361,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.4103849214868713,1.687297255623869,2.3945878440554957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.87477501955334,17.192081747759772,True,False,True,False,True,19.233748510478467,0,1.069913264123553,0.7762067997999342,False,False,False,False,0.34282819563304934,0.31612720612477874,False,False,False,False,31824156,21816533.61823662,False,False,False,False,3726711.539567333,False,False,False,False
2025-05-19 00:00:00+00:00,2.88,3.04,2.67,2.73,7157011,,2.700635722772331,2.5236891099062335,2.2754712588011956,1.867496561621594,1.8611111652769894,1.8369654294267255,1.7791192768645172,1.6138584605728894,1.6088303425645953,2.620029439290314,1.8558106661859355,1.753993126211222,1.6688848469408835,1.5729212132438335,1.5286514345821596,1.5232146680495078,1.4841234543010975,1.4786756797757776,1.2387533717229902,,1.8288424948928608,1.5729212132438335,1.4858656389169234,1.4202520100795446,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.4261701221026349,1.712874901054797,2.738636611095236,0.0,0.0,0.0,0.0,1.0,2.8,2.67,0.0,67.42927335360864,11.792862540017587,True,False,True,False,True,20.0,0,1.0829391433593243,0.7434914418505894,False,False,False,False,0.3428282058476854,0.32947770598623205,False,False,False,False,38981167,22489656.49595283,False,False,False,False,3861233.0870352807,False,False,False,False
2025-05-20 00:00:00+00:00,2.91,2.99,2.8,2.91,4702645,,2.7413009396414756,2.5546841317481284,2.300742118516526,1.885991083535532,1.879583216640081,1.8553814777151991,1.7972246102470515,1.6287967709396487,1.623714528651651,2.6682538600320775,1.8742747388393481,1.7718350098036406,1.6854535521578398,1.5873719368180046,1.5424640661431075,1.5369425716717826,1.497293639457107,1.4918022602455097,1.2497072248639935,,1.8472454706251091,1.5873719368180046,1.499049644563821,1.43292021677759,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.4400868874080098,1.729532485174455,2.682351027948533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.36166923429751,13.630855130907015,True,False,True,False,True,20.0,0,1.1035615024685423,0.7508590057814315,False,False,False,False,0.3428282058476854,0.3361529559169587,False,False,False,False,43683812,23320799.84905272,False,False,False,False,3894229.6326417406,False,False,False,False
2025-05-21 00:00:00+00:00,2.9,2.99,2.85,2.95,4317030,,2.7684332752876104,2.5798958503108405,2.3226823589882186,1.9026109058584422,1.8961856947093976,1.8719431958264732,1.8135327321796846,1.6423485383597276,1.637218896915431,2.701715670673117,1.8908720595856747,1.7879195474346594,1.700438523046085,1.6004953526520358,1.5550235064184528,1.5494269073648483,1.509282891079514,1.5037528999141014,1.2597166816697565,,1.8637983859702691,1.6004953526520358,1.5110511299062057,1.4444641385828862,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.4536601100995076,1.7445302127172677,2.546994460300437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.42769074573128,14.701672956899202,True,False,True,False,True,20.0,0,1.104489136920431,0.7561218162460662,False,False,False,False,0.3428282029808417,0.3394905794489002,False,False,False,False,39366782,23950054.05105065,False,False,False,False,3910810.03920481,False,False,False,False
2025-05-22 00:00:00+00:00,2.97,3.04,2.85,2.85,3817422,,2.791064002022859,2.6017505710497395,2.342042287903569,1.9174297950100252,1.91098883071412,1.8867082948346539,1.8280717822643267,1.6544656604143098,1.6492939411802923,2.7288217306185025,1.9056701183889666,1.8022619094680346,1.7138148893826837,1.6122324997559307,1.566260717733207,1.5605975339246725,1.5200140026674607,1.5144494969168472,1.268679622525546,,1.8785549592775266,1.6122324997559307,1.5217931783450869,1.4547970526913132,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.4691030352253751,1.7579059227256573,2.5838546891772003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7376246058207,16.064832485669854,True,False,True,False,True,20.0,0,1.0954673513783386,0.7843039359033797,False,False,False,False,0.34282820385856433,0.34115939165373227,False,False,False,False,43184204,24704334.441205528,False,False,False,False,3907147.7631575624,False,False,False,False
2025-05-23 00:00:00+00:00,3.06,3.12,3.0,3.09,3932030,,2.8211727059926055,2.627803426183128,2.364048255334307,1.9337901832840139,1.9273257351653863,1.9029803107086822,1.8440478642823275,1.6677205130286916,1.6625006120759518,2.7618993910509877,1.9219962014586627,1.8180056097958537,1.728457723898369,1.6250557594127213,1.5785237111089636,1.5727862904607364,1.531712071713566,1.52610805213555,1.2783913031143739,,1.8948099886370837,1.6250557594127213,1.5335037809948708,1.466040388724876,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.486375378703539,1.7726244319899087,2.646876516327088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33574260930534,17.724313817674712,True,False,True,False,True,20.0,0,1.0818942432429213,0.7798816990585911,False,False,False,False,0.3428282075383334,0.3419937995960328,False,False,False,False,47116234,25583232.463119037,False,False,False,False,3908123.5371513837,False,False,False,False
