date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_446,Gap_Up_aVWAP_442,Gap_Up_aVWAP_438,Gap_Up_aVWAP_435,Gap_Up_aVWAP_431,Gap_Up_aVWAP_423,Gap_Up_aVWAP_420,Gap_Up_aVWAP_414,Gap_Up_aVWAP_406,Gap_Up_aVWAP_390,Gap_Down_aVWAP_445,Gap_Down_aVWAP_443,Gap_Down_aVWAP_440,Gap_Down_aVWAP_437,Gap_Down_aVWAP_433,Gap_Down_aVWAP_432,Gap_Down_aVWAP_430,Gap_Down_aVWAP_428,Gap_Down_aVWAP_426,Gap_Down_aVWAP_421,aVWAP_OB_bear_338,aVWAP_OB_bear_252,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-28 17:00:00+00:00,67.53,68.045,67.525,67.97,7153.0,,,,,,,,,,,,,,,,,,,,,,68.06408558472813,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.176338123354369,69.92979758006447,-0.6169990422791741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16415044665239,-3.7619993901887767,True,False,True,False,True,0.0,0,0.8129702462380298,0.9268125854993159,False,False,False,False,-0.22961991705264345,-0.23520056027910669,False,False,False,False,-427007.0,-208863.26048335547,False,False,False,False,19005.442606880075,False,False,False,False
2025-01-29 17:00:00+00:00,67.74,67.96,67.47,67.86,16567.0,,,,,,,,,,,,,,,,,,,,,,68.06008635001203,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.1310789350155006,69.91320174705939,-0.6557489573635503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00749284603835,-2.596351062924306,True,False,True,False,True,0.0,0,0.8078472587143104,0.9352776318094236,False,False,False,False,-0.2322478103650173,-0.233724185322062,False,False,False,False,-443574.0,-212502.18667741196,False,False,False,False,18967.637295145498,False,False,False,False
2025-01-30 17:00:00+00:00,68.1,68.42,68.0,68.13,29550.0,,,,,,,,,,,,,,,,,,,,,,68.06294181931463,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.1120799915610133,69.89243850600172,-0.5663217239855372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.51627462188875,-0.7280179144581993,True,False,True,False,True,0.0,0,0.8062247230525758,0.9375769298399859,False,False,False,False,-0.2137301790906509,-0.22372718220635646,False,False,False,False,-414024.0,-215626.55587621176,False,False,False,False,19131.70493398045,False,False,False,False
2025-01-31 17:00:00+00:00,68.18,68.26,67.09,67.53,38672.0,,,,,,,,,,,,,,,,,,,,,,68.0501029030493,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.0973915675166204,69.85084615895164,-0.7492905266777141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.72716867432214,-0.7280179144581993,True,False,True,False,True,0.0,0,0.8029670427289685,0.9355067957715199,False,False,False,False,-0.23375087754465876,-0.2287390298755076,False,False,False,False,-452696.0,-219302.0511339449,False,False,False,False,19434.655245081525,False,False,False,False
2025-02-03 17:00:00+00:00,68.46,68.74,67.99,68.32,9788.0,,,,,,,,,,,,,,,,,,,,,,68.05232015297354,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.0958849074797534,69.84514875740342,-0.4926374212809469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.345188193692344,-0.22557621686370766,True,False,True,False,True,0.0,0,0.8141435678749108,0.9244847192608387,False,False,False,False,-0.20796185405263787,-0.21835044196407272,False,False,False,False,-442908.0,-222768.81003109302,False,False,False,False,19285.094698646153,False,False,False,False
2025-02-04 17:00:00+00:00,67.95,68.635,67.95,68.58,57874.0,,,,,,,,,,,,,,,,,,,,,,68.06639378701942,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.09038587199696,69.81270887002415,-0.3988850975517815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.233199295996066,1.9492990016284395,True,False,True,False,True,0.0,0,0.8176507313592576,0.9191045308597932,False,False,False,False,-0.2106582209906255,-0.2145043314773491,False,False,False,False,-385034.0,-225284.5494104559,False,False,False,False,19883.372300217532,False,False,False,False
2025-02-05 17:00:00+00:00,70.12,70.63,70.12,70.28,13791.0,,,,,,,,,,,,,,,,,,,,,,68.08889472448455,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.079189452548392,69.8214774799255,0.14891013597588623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3726981991473,7.009797060599851,True,False,True,False,True,0.0,0,0.8202321871676707,0.9168291386033321,False,False,False,False,-0.1342427684668233,-0.1743735499720862,False,False,False,False,-371243.0,-227547.47112502245,False,False,False,False,19788.916915718033,False,False,False,False
2025-02-06 17:00:00+00:00,70.05,70.655,70.04,70.395,5387.0,,,,,,,,,,,,,,,,,,,,,,68.09764056088014,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.05996191461912,69.80923376753633,0.19142925592150084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.99919554316848,10.477600175485726,True,False,True,False,True,0.0,0,0.8183306055646479,0.9189631530057061,False,False,False,False,-0.13523988298894796,-0.15480671648051708,False,False,False,False,-365856.0,-229691.7894021539,False,False,False,False,19565.631382141008,False,False,False,False
2025-02-07 17:00:00+00:00,69.58,69.75,69.45,69.68,9678.0,,,,,,,,,,,,,,,,,,,,,,68.10813093046384,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.0482050736739765,69.78155950422024,-0.03331780564810381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.01381551017623,10.477600175485726,True,False,True,False,True,0.0,0,0.8120171294865567,0.9231380513001632,False,False,False,False,-0.16245274099989976,-0.15862972874020842,False,False,False,False,-375534.0,-231952.90894630656,False,False,False,False,19412.33477156518,False,False,False,False
2025-02-10 17:00:00+00:00,69.45,69.45,69.16,69.305,36626.0,,,,,,,,,,,,,,,,,,,,,,68.1384205680448,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.039213687426149,69.75538435757181,-0.14819107963192554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.75500769122519,10.477600175485726,True,False,True,False,False,0.0,0,0.8065087447420851,0.9252158512286914,False,False,False,False,-0.17325604232648537,-0.1659428855333469,False,False,False,False,-412160.0,-234746.8173347359,False,False,False,False,19679.213302238586,False,False,False,False
2025-02-11 17:00:00+00:00,68.765,68.815,68.595,68.68,4689.0,,,,,,,,,,,,,,,,,,,,,,68.14022341580264,"rgba(38, 166, 154, 1.0)",0.0,0.0,3.0315149811738857,69.74965206161754,-0.3528440625430567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81364087377736,16.29587416685601,True,False,True,False,False,0.0,0,0.8057569960403965,0.9254793789206742,False,False,False,False,-0.19535583227684744,-0.18064935890509717,False,False,False,False,-416849.0,-237570.10698846093,False,False,False,False,19446.80689445194,False,False,False,False
