date,Open,High,Low,Close,Volume,aVWAP_peak_408,aVWAP_peak_389,aVWAP_peak_372,aVWAP_peak_339,aVWAP_peak_322,aVWAP_peak_292,aVWAP_peak_263,aVWAP_peak_197,aVWAP_valley_432,aVWAP_valley_401,aVWAP_valley_343,aVWAP_OB_bear_292,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-01-23 17:00:00+00:00,248.5,249.045,247.47,248.89,21901.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,243.62188155915436,,57.8880373477514,1.9716791759434074,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,135664.0,8010.824071767524,False,False,False,False,45065.57865088814,False,False,False,False
2024-01-24 17:00:00+00:00,249.695,249.73,246.74,247.47,22150.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,243.85461680407064,,57.64209912957526,2.185178595205805,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,113514.0,9646.532225693609,False,False,False,False,44710.29836172708,False,False,False,False
2024-01-25 17:00:00+00:00,248.28,248.6,247.15,248.55,27277.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,244.1163586073202,,58.42272898945193,3.4000623784302633,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,140791.0,11679.779788085956,False,False,False,False,44440.014666196425,False,False,False,False
2024-01-26 17:00:00+00:00,247.74,247.86,245.48,246.18,24136.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,244.24008693130548,,56.13688805897398,3.4000623784302633,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,116655.0,13307.302582069118,False,False,False,False,44125.22374113911,False,False,False,False
2024-01-29 17:00:00+00:00,246.65,249.85,246.475,249.85,21305.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,244.43568106026112,,57.784930300291734,3.4000623784302633,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,137960.0,15239.902542037038,False,False,False,False,43771.42182267184,False,False,False,False
2024-01-30 17:00:00+00:00,249.62,249.94,247.85,248.29,15080.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,244.56312791118108,,57.135040729120746,3.4000623784302633,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,122880.0,16908.741262315532,False,False,False,False,43326.5935773591,False,False,False,False
2024-01-31 17:00:00+00:00,248.495,250.01,243.59,244.795,30690.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,244.65329809951635,,53.38996387759039,7.786944563589337,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,92190.0,18075.892560574208,False,False,False,False,43130.67739786516,False,False,False,False
2024-02-01 17:00:00+00:00,245.295,250.54,245.295,250.52,24976.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,244.83762344027235,,55.34639763246423,7.786944563589337,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,117166.0,19612.17329606918,False,False,False,False,42849.209531231594,False,False,False,False
2024-02-02 17:00:00+00:00,247.605,250.995,246.44,250.13,11126.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,244.92237600001042,,56.28380644660462,7.786944563589337,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,106040.0,20952.13960155648,False,False,False,False,42357.37682532102,False,False,False,False
2024-02-05 17:00:00+00:00,243.98,245.51,243.675,244.875,28642.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,244.91121291227398,,52.649736269889715,7.20032587843837,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,77398.0,21827.269220136997,False,False,False,False,42144.735324153255,False,False,False,False
2024-02-06 17:00:00+00:00,240.98,243.35,239.95,243.34,43406.0,,,,,,,,,,,,,,,#000000,,243.89071592503015,,49.20845756104987,4.020028382183817,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,33992.0,22015.869697344177,False,False,False,False,42164.28981525165,False,False,False,False
2024-02-07 17:00:00+00:00,244.63,245.78,241.64,241.64,53580.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,243.9518144063425,,45.82227303676042,0.9470274535325487,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19588.0,21370.84846172644,False,False,False,False,42341.27757005395,False,False,False,False
2024-02-08 17:00:00+00:00,250.93,254.945,249.99,251.99,52956.0,,,,,,,,,,,,,,,#000000,,245.45055126124143,,50.60374226924928,0.9470274535325487,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,33368.0,21556.850811157037,False,False,False,False,42505.846910053115,False,False,False,False
2024-02-09 17:00:00+00:00,247.495,250.34,247.495,249.17,20911.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,245.64002862416405,,51.86600769953344,-3.937733880054509,True,False,True,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,12457.0,21415.767852844525,False,False,False,False,42171.043081990276,False,False,False,False
2024-02-12 17:00:00+00:00,254.76,256.19,254.05,255.88,19460.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,246.1110793975014,,55.8157351462706,-0.2822809804263642,True,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31917.0,21578.577653575616,False,False,False,False,41818.933886920655,False,False,False,False
