date,Close,High,Low,Open,Volume,aVWAP_peak_51,aVWAP_valley_42,aVWAP_valley_37,aVWAP_valley_28,aVWAP_valley_21,aVWAP_OB_bull_53,aVWAP_OB_bull_28,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-11-15 00:00:00+00:00,1.71,1.93,1.67,1.92,16433727,,,,,1.7699999999999998,,,,1.7699999999999998,#000000,,1.9210726565323903,,51.94668974173026,13.075477676920102,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.34282825441539394,-0.20168106801091076,False,False,False,False,-23514692,197673.33970937785,False,False,False,False,5867491.299873389,False,False,False,False
2024-11-22 00:00:00+00:00,1.86,1.9074,1.77,1.78,8150657,,,,,1.795130578850379,,,,1.795130578850379,#000000,,1.9167159783263485,,50.79748626179888,11.5249409575612,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.2844982958623033,-0.24308968193660702,False,False,False,False,-15364035,-955045.7965653907,False,False,False,False,6036614.685067953,False,False,False,False
2024-11-29 00:00:00+00:00,1.82,1.86,1.75,1.84,3865481,,,,,1.797150885974327,,,,1.797150885974327,#000000,,1.9117097144932278,,49.62202697625145,9.938877360634152,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.3351722887813944,-0.2891309853590007,False,False,False,False,-19229516,-2308710.2560790656,False,False,False,False,5875789.9676555125,False,False,False,False
2024-12-06 00:00:00+00:00,1.8,1.91,1.72,1.8,6533766,,,,,1.799550668442621,,,,1.799550668442621,#000000,,1.9042895660542516,,48.59990065904501,8.497078863243956,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.3199722945045798,-0.30455163993179024,False,False,False,False,-25763282,-4046085.9408139493,False,False,False,False,5924528.933014364,False,False,False,False
2024-12-13 00:00:00+00:00,1.84,1.95,1.78,1.87,6222816,,,,,1.808176074743838,,,,1.808176074743838,#000000,,1.9024130044771337,,48.308954973627834,7.746089347604219,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.24592903988278694,-0.2752403399072886,False,False,False,True,-19540466,-5193817.797049953,False,False,False,False,5946624.271309596,False,False,False,False
2024-12-20 00:00:00+00:00,1.77,2.0,1.71,2.0,7526038,,,,,1.8110316832245814,,,,1.8110316832245814,#000000,,1.8972236123041484,,47.411827117361035,6.39834688886949,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,0.9618003653878092,0.9152964623816642,False,False,False,False,-0.2605039728029548,-0.2678721563551217,False,False,False,False,-27066504,-6814016.775046253,False,False,False,False,6063617.880842218,False,False,False,False
2024-12-27 00:00:00+00:00,1.75,1.8,1.69,1.78,2976868,,,,,1.8073262383293278,,,,1.8073262383293278,#000000,,1.892446133595923,,46.573769311630215,5.12070419294524,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,0.9580607280657606,0.9647710115752389,False,False,False,False,-0.34282825441539394,-0.3053502053852578,False,False,False,False,-30043372,-8534709.754672457,False,False,False,False,5834969.741520572,False,False,False,False
2025-01-03 00:00:00+00:00,1.71,1.78,1.67,1.75,3328861,,,,1.7200000000000002,1.8020445097279745,,1.7200000000000002,,1.7610222548639873,#000000,,1.8349800017211968,,45.572133742684514,3.7037425301013656,False,False,False,True,False,,1.0,1.78,1.67,0.0,1,0.9545531055377882,0.9612859787914492,False,False,False,False,-0.34282825441539394,-0.32408922990032585,False,False,False,False,-33372233,-10374526.291363385,False,False,False,False,5649332.056963493,True,False,False,False
2025-01-10 00:00:00+00:00,2.02,2.045,1.87,1.96,9878177,,,,1.913219887128868,1.8288699720783923,,1.913219887128868,,1.87104492960363,#000000,,1.8935459268278723,,48.24730860767072,3.7037425301013656,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,0.9544200050179811,0.9556745002927155,False,False,False,False,0.3125809328132637,-0.005754148543531068,False,False,False,False,-23494056,-11346343.306817949,False,False,False,False,5962579.830521753,False,False,False,False
2025-01-17 00:00:00+00:00,1.92,2.065,1.88,2.05,8032622,,,,1.9290206981499078,1.8427585059389358,,1.9290206981499078,,1.8858896020444218,#000000,,1.902506372677938,,49.10336164593005,3.7037425301013656,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,0.937646141855027,0.9835455096561878,False,False,False,False,0.3428279551599426,0.16853690330820575,False,False,False,False,-31526678,-12841182.913720323,False,False,False,False,6115916.287520142,False,False,False,False
2025-01-24 00:00:00+00:00,2.03,2.1,1.93,1.93,7077875,,,,1.9517606762617816,1.85843440151765,,1.9517606762617816,,1.9050975388897158,#000000,,1.9152134382533919,,50.737176693629365,3.7037425301013656,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9377331968137722,0.9479374555299098,False,False,False,False,0.34282799901632605,0.2556824511622659,False,False,False,False,-24448803,-13701006.623815114,False,False,False,False,6187172.488444576,False,False,False,False
2025-01-31 00:00:00+00:00,2.06,2.16,1.91,2.0,7234774,,,,1.9703954006194087,1.8737641804133105,,1.9703954006194087,,1.9220797905163596,#000000,,1.9271649580533432,,52.175189743140656,3.7037425301013656,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9288478558908769,0.9531437099769187,False,False,False,False,0.34282801549367864,0.29925523332797227,False,False,False,False,-17214029,-13961230.503532512,False,False,False,False,6264772.600411644,False,False,False,False
2025-02-07 00:00:00+00:00,2.2,2.32,2.0169,2.06,9082080,,,,2.012834895510724,1.9025348440683705,,2.012834895510724,,1.9576848697895473,#000000,,1.9533134252927886,,54.4028801023988,-2.461558653173718,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,0.9840456523974362,0.8868972135586249,False,False,False,False,0.3428280873937665,0.3210416603608694,False,False,False,False,-8131949,-13529431.873641215,False,False,False,False,6473462.037418189,False,False,False,False
