date,Close,High,Low,Open,Volume,aVWAP_peak_187,aVWAP_peak_180,aVWAP_peak_173,aVWAP_peak_158,aVWAP_peak_142,aVWAP_peak_133,aVWAP_peak_120,aVWAP_peak_113,aVWAP_peak_99,aVWAP_peak_98,aVWAP_peak_93,aVWAP_peak_83,aVWAP_peak_42,aVWAP_peak_37,aVWAP_peak_32,aVWAP_peak_12,aVWAP_peak_4,aVWAP_valley_184,aVWAP_valley_167,aVWAP_valley_150,aVWAP_valley_137,aVWAP_valley_131,aVWAP_valley_121,aVWAP_valley_110,aVWAP_valley_96,aVWAP_valley_90,aVWAP_valley_86,aVWAP_valley_72,aVWAP_valley_53,aVWAP_valley_39,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_9,aVWAP_OB_bull_150,aVWAP_OB_bear_83,aVWAP_OB_bear_42,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-06-21 00:00:00+00:00,1.23,1.31,1.15,1.2,4553604,,,,,,,1.336059146935412,1.421207002838692,1.5534263236617352,1.5843942639160649,1.6410243038464585,1.7797255209082414,2.3106695797992276,2.5894276457632284,2.693193278027331,3.3383609751702594,3.6041579874271252,,,,,,1.3121914088521172,1.414954812966088,1.5986691198629586,1.684482155196302,1.7198649560641843,1.9086428308550591,2.0435586158221004,2.3791575830985674,2.7988249415415916,2.998128845073429,3.459888833044492,,1.7797255209082414,2.3106695797992276,1.526627349414001,"rgba(239, 83, 80, 1.0)",0.6447871916551372,1.3711030928980772,-0.21883668708721163,39.289048144021464,-8.164773272461801,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1,0.8933245188334811,1.1412323271782083,False,False,False,False,-0.34282825441539394,-0.3337823319286909,False,False,False,False,18420624,19859909.522148196,False,False,False,False,3029429.4129051208,False,False,False,False
2024-06-28 00:00:00+00:00,1.25,1.38,1.21,1.26,7347263,,,,,,,1.3260127662068277,1.4034197464530926,1.5325876881534215,1.5620638615777431,1.6170584359456615,1.7532662959332204,2.2841943265207383,2.5588937646900423,2.6615843704229656,3.300034858265714,3.5643558691695465,,,,,,1.3055844920849033,1.3997842308465014,1.5760853410068891,1.6596756507318997,1.6948354936069159,1.8861941502144208,2.021820656469456,2.351606091513297,2.766763206818653,2.9640489653819033,3.420831619184186,,1.7532662959332204,2.2841943265207383,1.5077107706613857,"rgba(239, 83, 80, 1.0)",0.6345142712030648,1.3587003088978313,-0.17131263051299245,39.50375983259167,-8.164773272461801,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1,0.9102757120914884,1.092765789193546,False,False,False,False,-0.2535850905427227,-0.2936837112357068,False,False,False,False,25767887,20297537.48347055,False,False,False,False,3349268.937875112,False,False,False,False
2024-07-05 00:00:00+00:00,1.11,1.255,1.07,1.24,2128490,,,,,,,1.3170789517626778,1.3943214839846458,1.5242150834628667,1.5533847430232275,1.6081515503865282,1.7440771661669936,2.275779510517578,2.5494065359007356,2.6518206459743614,3.2884727435471928,3.5524122202704747,,,,,1.1450000000000002,1.2965724120157698,1.3917486964723338,1.5674129297805734,1.6506910760542994,1.6859186703311464,1.878604965127063,2.014648231126119,2.342907390024173,2.7569057480710435,2.9536558847237777,3.409079811560592,,1.7440771661669936,2.275779510517578,1.4448576926942924,"rgba(239, 83, 80, 1.0)",0.6201990380892595,1.2882432119407734,-0.28739678876303,38.554812778377055,-9.058608466971066,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1,0.9144727634627644,1.0987450821838993,False,False,False,False,-0.34282825441539394,-0.31825598282555034,False,False,False,False,23639397,20545082.632843103,False,False,False,False,3258840.8684028815,False,False,False,False
2024-07-12 00:00:00+00:00,1.3,1.36,1.09,1.11,2798479,,,,,,,1.3129914339730575,1.3879364635624327,1.516642053129036,1.5453050588354351,1.5994818288798274,1.7344547466934719,2.265913220867629,2.538043261795612,2.6400545813357996,3.2741941451987358,3.5375644564140902,,,,,1.2046391605061857,1.2933721685865962,1.3861049614736285,1.5592336733242196,1.6417008856027002,1.6768180580648133,1.8702550149498913,2.00651203250558,2.3326455404653688,2.7449587942381655,2.94095359437829,3.3945203552538095,,1.7344547466934719,2.265913220867629,1.444740768787312,"rgba(239, 83, 80, 1.0)",0.6026457283295632,1.299734806657068,0.0004400484902915378,40.11771528926819,-9.058608466971066,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1,0.9328198478291438,1.0624931648100988,False,False,False,False,-0.25141004995141497,-0.2848330163884827,False,False,False,False,26437876,20981585.845225096,False,False,False,False,3224739.989261927,False,False,False,False
2024-07-19 00:00:00+00:00,1.24,1.42,1.21,1.32,3707656,,,,,,1.29,1.3112739272745109,1.3825137699802144,1.508642062952664,1.5366038830876958,1.589864794406637,1.7232750363850384,2.253633482786143,2.523748970762454,2.6252066941276495,3.2559497087488136,3.518524203793301,,,,,1.2412925911663797,1.2930907839908534,1.381289417466221,1.5503454178115417,1.6315480259619421,1.666406875318722,1.8602198210722696,1.9965515339187525,2.3198344214614366,2.729834984733766,2.92480467709214,3.3758847224341797,,1.7232750363850384,2.253633482786143,1.4084916648136718,"rgba(239, 83, 80, 1.0)",0.5870843210306298,1.283914325607936,-0.07480071266567656,40.73194509035295,-9.058608466971066,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,1,0.973481835057014,1.0155989205546978,False,False,False,False,-0.12630189780895232,-0.2055674570987175,False,False,False,False,22730220,21111114.301134348,False,False,False,False,3260511.5456128954,False,False,False,False
2024-07-26 00:00:00+00:00,1.24,1.27,1.19,1.24,1488669,,,,,,1.2737658518279746,1.3090042704075648,1.37926938815375,1.5047947651450295,1.5325099115159602,1.585471225019737,1.7183763239519207,2.2485046804077764,2.517841947068767,2.619087443797113,3.248509962574895,3.5107776768659273,,,,,1.2401221519398726,1.2911536044421692,1.3783714502297828,1.5461983336602156,1.6269852826373987,1.6617768262645451,1.8558967816551866,1.992315224087061,2.3145005572117343,2.7236151674924227,2.9181875483489406,3.36829406107867,,1.7183763239519207,2.2485046804077764,1.4040660952342057,"rgba(239, 83, 80, 1.0)",0.5690579222881573,1.2785114696543953,-0.06767583429739872,41.17068066255636,-11.198678737463233,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,1,0.9934754595723164,1.0424095127799435,False,False,False,False,-0.24428941261887757,-0.22492843485879754,False,False,False,False,22730220,21231048.05660588,False,False,False,False,3129263.94964157,False,False,False,False
2024-08-02 00:00:00+00:00,1.06,1.35,0.9925,1.25,2864181,,,,,,1.224161356309393,1.2997283170739844,1.3694254636860144,1.4950906948662144,1.5224257787287454,1.5750188509879104,1.707349933760012,2.2378306800825563,2.5057619344376505,2.6066323786827343,3.2336519830346973,3.4953776434665924,,,,,1.2167553552557369,1.2819370712596496,1.369443949520435,1.5360824368149284,1.6163554080879476,1.6511428235025842,1.846446317518337,1.9832476641842105,2.3034563076980072,2.711005891435519,2.9048599896432603,3.353168608917019,,1.707349933760012,2.2378306800825563,1.3890069274503012,"rgba(255, 0, 0, 1.0)",0.5611891171657026,1.2556455249746912,-0.34862672669563327,40.02448312166057,-11.198678737463233,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1,0.9618558356076419,1.012730775405362,False,False,False,False,-0.3297255102190115,-0.2773269725389045,False,False,False,False,19866039,21129936.274635073,False,False,False,False,3109628.1755940462,False,False,False,False
2024-08-09 00:00:00+00:00,0.8302,1.0229,0.8302,0.9713,2693101,,,,,,1.1415852617575974,1.2804705864338037,1.3521408236069985,1.4806585049301515,1.5078251598247145,1.56051364172817,1.6931749323706833,2.225839196626769,2.492642383397972,2.593234456851177,3.218297079395154,3.4796266206992454,,,,,1.1613973276194276,1.2616650772283262,1.3536586182445893,1.521604324513398,1.6020050194704756,1.6370690157804582,1.8348676400475046,1.9725364076013499,2.291167849962528,2.697555927219888,2.8908366601812983,3.337615811350686,,1.6931749323706833,2.225839196626769,1.3621519325887177,"rgba(255, 26, 202, 1.0)",0.5545665238383557,1.2112795632597888,-0.6871665469855611,37.69957990903682,-9.81675068190497,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1,0.9362798612894939,1.048163370151554,False,False,False,False,-0.34282825441539394,-0.31007761347714924,False,False,False,False,17172938,20836825.291328773,False,False,False,False,3078774.310735228,False,False,False,False
2024-08-16 00:00:00+00:00,1.02,1.045,0.8107,0.8107,2062372,,,,,,1.1121335572881321,1.269168659889132,1.3414704901447843,1.4712255388632445,1.4982169252301882,1.5508468390899988,1.683494686969267,2.2172353193875756,2.4831364116953427,2.583497295277183,3.206994706469024,3.46798895655042,,,,0.9585666666666667,1.1378210720901623,1.24999001303877,1.343853586312314,1.5120406254103373,1.5923571062857584,1.627540918169309,1.8267811976393598,1.964954710572686,2.282326817772824,2.687751456609374,2.880569947911363,3.326147067686035,,1.683494686969267,2.2172353193875756,1.2894487134933732,"rgba(255, 0, 0, 1.0)",0.551735782006153,1.1146278272709327,-0.17150931724395094,38.2095918601628,-9.81675068190497,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1,0.9113038210772981,1.0602413479778736,False,False,False,False,-0.3415070442809076,-0.3257923288790284,False,False,False,False,19235310,20718194.52900812,False,False,False,False,3003485.2506807665,False,False,False,False
2024-08-23 00:00:00+00:00,1.07,1.08,0.98,1.03,1344486,,,,,,1.105601219691585,1.264115312915998,1.3362926573314742,1.4662442747428106,1.493087936852436,1.545588623171585,1.6780422029134314,2.2120624996191025,2.477343575402148,2.5775396325518223,3.1999627236297887,3.4607142243406708,,,,0.9920190725491542,1.1311655183928861,1.2449277648879509,1.339069006270591,1.506907323562826,1.587042363276838,1.6222411903432512,1.8220963142750402,1.960484052837969,2.27699117455936,2.6817295299671877,2.8742280938545703,3.318995364586771,,1.6780422029134314,2.2120624996191025,1.2879430087197714,"rgba(255, 0, 0, 1.0)",0.5490090537266841,1.118428393880394,-0.08821055600387848,39.10160689823809,-9.81675068190497,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1,0.9328676506091967,1.0551898408202023,False,False,False,False,-0.24082078149099453,-0.28330655518501147,False,False,False,False,20579796,20707942.78611863,False,False,False,False,2880596.417297006,False,False,False,False
2024-08-30 00:00:00+00:00,1.07,1.1,1.02,1.06,1495050,,,,,,1.1015647760805058,1.2592407295038917,1.3311210913480125,1.4610952166620164,1.4877663635291143,1.5400958414560892,1.6722748047180978,2.2064611878022804,2.4710455924121355,2.571054342928778,3.1922687546469977,3.452742415238761,,,,1.0137694574167175,1.1262383916052114,1.2401124534188954,1.3342723232603313,1.5015702464122753,1.581464977696416,1.616659483747596,1.8170842576053012,1.9556707033435143,2.2712070356044007,2.6751659229339824,2.8673037282475966,3.3111646364313714,,1.6722748047180978,2.2064611878022804,1.2856751049236972,"rgba(255, 0, 0, 1.0)",0.5394768682197034,1.1204212696303324,-0.09346326524939737,39.73876049686329,-9.81675068190497,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1,0.9281246230463029,1.119401699091865,False,False,False,False,-0.21221941286148965,-0.24776298402325056,False,False,False,False,20579796,20698450.431591325,False,False,False,False,2777963.3493490797,False,False,False,False
2024-09-06 00:00:00+00:00,0.9901,1.06,0.9831,1.06,1144558,,,,,,1.095399306733171,1.254712239771838,1.3265451965366315,1.4567349550211006,1.4832897580612023,1.5355227847747703,1.6675593623213096,2.202015415025245,2.46608424935816,2.5659560367940553,3.1862721748750444,3.4465424998399556,,,,1.0132578361200302,1.1201712647891353,1.2355552521653554,1.3300245291046697,1.4970933238140975,1.5768520734801863,1.6120645230615491,1.81302874496546,1.9518067336070053,2.2666260198315,2.6700151463899373,2.861885805004376,3.3050678099311113,,1.6675593623213096,2.202015415025245,1.281278366211723,"rgba(255, 0, 0, 1.0)",0.5294713283137259,1.1160959149519232,-0.23796551052763948,39.56774009787056,-9.81675068190497,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1,0.8893617021276595,1.1139893617021275,False,False,False,False,-0.24568851386515936,-0.24672574894420496,False,False,False,False,19435238,20604879.140362337,False,False,False,False,2656970.360508407,False,False,False,False
2024-09-13 00:00:00+00:00,1.06,1.07,0.99,1.0,1903484,,,,,,1.089761251149536,1.2483883843873802,1.3198901478971288,1.4501264730068952,1.476473079225342,1.5285001020915827,1.6602035619353779,2.1948724022019697,2.458070019922968,2.557706983676446,3.1765037890792502,3.4364226837302327,,,,1.019660804826865,1.1137133162954842,1.2292917251434088,1.3238209771138396,1.4902587569282444,1.5697274792696887,1.6049358022145208,1.8066138532835494,1.945645698645311,2.2592546414353225,2.661667448801137,2.8530848668957773,3.29512658610479,,1.6602035619353779,2.1948724022019697,1.2761384915974123,"rgba(255, 0, 0, 1.0)",0.5219403165044714,1.1131067743538234,-0.10174874918551809,40.268851236192475,-12.373933164881713,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1,0.9129379562043796,1.0935948905109487,False,False,False,False,-0.23728841195861894,-0.24200708045141195,False,False,False,False,21338722,20659237.87070587,False,False,False,False,2601156.5560263027,False,False,False,False
2024-09-20 00:00:00+00:00,0.7608,1.3,0.7608,1.06,62840937,,,,,0.9405333333333334,0.9747611852698072,1.0966194606622097,1.1552539627623999,1.2750168734347611,1.2960096437170179,1.3410888813356412,1.4594156997934689,1.9832631088226025,2.220584405628304,2.312803424001403,2.884422972217214,3.1321659112862994,,,,0.9494194974804221,0.987859167175958,1.0808838565001273,1.165183485430536,1.3085804816372095,1.3780431154238275,1.4112747066522315,1.6203667207676273,1.762326888206804,2.04093987256038,2.412757413758628,2.5900266894816055,2.9971360506435745,,1.4594156997934689,1.9832631088226025,1.0921540465766573,"rgba(255, 0, 0, 1.0)",0.5302389491166744,0.9631432958148802,-0.3816077565632704,38.62777406036431,-12.373933164881713,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1,0.8783914561227664,1.0523450730999204,False,False,False,False,-0.23689159649819735,-0.23944933847480465,False,False,False,False,-41502215,16054685.806209138,False,False,False,False,7063362.514839169,False,False,False,False
2024-09-27 00:00:00+00:00,0.7581,0.7937,0.6221,0.7609,28159468,,,,,0.8737245192275062,0.9105568747407683,1.0293123548277696,1.0851443269852177,1.2015765102321132,1.2210988891741672,1.2640439469215463,1.3777605643544313,1.8948024417428226,2.122553656638237,2.2118775490015556,2.764989839347982,3.007464732987049,,,,0.8854494511259376,0.9231968689620081,1.0141960104422187,1.0962596723321796,1.2332562223282433,1.2995568155086932,1.331950054057509,1.54163726245785,1.6839252740711301,1.9500343782249787,2.3100164321892227,2.4817297819320756,2.875176309238703,,1.3777605643544313,1.8948024417428226,1.0240515478049885,"rgba(255, 0, 0, 1.0)",0.5406468971169233,0.8982319285140551,-0.25919306900923433,37.43859082351576,-9.815879657310909,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1,0.8318472655778417,1.1498887604987669,False,False,False,False,-0.34282825441539394,-0.2911387964450993,False,False,False,False,-69661683,9705325.15389735,False,False,False,False,8626036.995221453,False,False,False,False
2024-10-04 00:00:00+00:00,0.6162,0.7629,0.5674,0.7629,12772768,,,,,0.8460441191816181,0.883262432159426,1.0004541489180063,1.05513913039938,1.1700313518088292,1.188977647267309,1.2310389790011573,1.3427811779124292,1.8563086194364768,2.080013430173169,2.168085432668114,2.71320974501412,2.9533228081395317,,,,0.8583982669442566,0.8956907461747506,0.9856014924159551,1.0666126261949975,1.2009523481220408,1.2659346798661026,1.2979364625526646,1.5074080297366441,1.6496278594074434,1.9105120563001268,2.265390131026811,2.4347018702440493,2.822268550830553,,1.3427811779124292,1.8563086194364768,0.9950211961464529,"rgba(255, 0, 0, 1.0)",0.5548138014645005,0.8708488911150127,-0.4589808156228903,35.7187817374831,-11.440436111812673,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8369651965717062,1.1526770533328705,False,False,False,False,-0.34282825441539394,-0.31698352543024666,False,False,False,False,-82434451,2880156.5499049546,False,False,False,False,8933202.254834678,False,False,False,False
2024-10-11 00:00:00+00:00,0.6263,0.6346,0.554101,0.6139,8935579,,,,,0.8269341055164289,0.8643415792675835,0.9805282242154821,1.0344768878302801,1.1483384730545363,1.1669127932518994,1.2083928945583793,1.31881754260292,1.829835860072471,2.0508166130034553,2.1380374707113035,2.6777288030702766,2.9162077442762344,,,,0.8396324654174246,0.8766391039290943,0.965844710016571,1.04616250781484,1.1787653211252906,1.242877635229917,1.2746116565748402,1.4838365581876722,1.6259616118501268,1.8833486073061931,2.2347609848081227,2.402438524345664,2.786009005061447,,1.31881754260292,1.829835860072471,0.9749810850314141,"rgba(255, 0, 0, 1.0)",0.567682894822337,0.8518868135326328,-0.39738173475040656,34.62154118736175,-12.449130744438172,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8493110575605629,1.1641492526588226,False,False,False,False,-0.34282825441539394,-0.32990588992282033,False,False,False,False,-73498872,-2777549.2686065235,False,False,False,False,8933378.310032109,False,False,False,False
2024-10-18 00:00:00+00:00,0.6391,0.6574,0.5705,0.61,15880028,,,,,0.8016670021883688,0.8382499454464243,0.9510891141166906,1.0033918601181384,1.1147416042717984,1.132646256466714,1.1729928588271172,1.2808079735899898,1.7860813902894415,2.0022734102330473,2.0879664736824775,2.6180381589213653,2.8535376449314223,,,,0.8143596633203855,0.8501090739102853,0.9368316827876335,1.0152293239682602,1.1442346680634934,1.206651400326538,1.2377941952033404,1.445618992479862,1.587117373238762,1.8383826454452803,2.183578141614152,2.3483502936406393,2.7249031100019634,,1.2808079735899898,1.7860813902894415,0.9458315526594699,"rgba(255, 0, 0, 1.0)",0.579868076385315,0.826096421216366,-0.32248097253781083,34.01315342844634,-13.002225080770764,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8547483543832535,1.2298273051402637,False,False,False,False,-0.3272252105542216,-0.32856555023852096,False,False,False,False,-57618844,-6839867.396857892,False,False,False,False,9447944.953733433,False,False,False,False
2024-10-25 00:00:00+00:00,0.5711,0.725,0.57,0.65,17311473,,,,,0.7803529650682627,0.8155103257332036,0.9240313366154204,0.9744182373955632,1.082667970520208,1.0998691638689173,1.1389544700523555,1.2438163586900701,1.7418467203445576,1.9529681987104706,2.0370094932713814,2.5567863167881777,2.788998178430467,,,,0.792718794450294,0.8268193382750063,0.9102908066561534,0.9862507356025773,1.1111456369931885,1.171672145140792,1.2021012412652254,1.407627435968377,1.5480464545569443,1.7928689373160838,2.1313496834179655,2.293001514276756,2.6620948207942727,,1.2438163586900701,1.7418467203445576,0.9192929674185606,"rgba(255, 0, 0, 1.0)",0.5929345104806377,0.8038503558816916,-0.39253973544738047,33.125738394946104,-13.845410288754962,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.874366353851476,1.1307430035630193,False,False,False,False,-0.30086469457244724,-0.3147151224054841,False,False,False,False,-74930317,-11883604.404498048,False,False,False,False,10030428.512716142,False,False,False,False
2024-11-01 00:00:00+00:00,0.4515,0.6048,0.425,0.598,11200176,,,,,0.7599213405226264,0.7950125788366729,0.9022974114807697,0.9518991270878371,1.0588680499370504,1.0757010120675414,1.1141571223988347,1.2175227923564251,1.7118980976330982,1.9200056102707135,2.0030660618300202,2.516624463450909,2.746838860784394,,,,0.7724321615625797,0.8061795505901372,0.8887457457610602,0.9638366271784393,1.0868325642702943,1.1464080494387079,1.1764970839577187,1.381143814252675,1.5211369130630694,1.7621624926336747,2.0966640758504984,2.256437856042174,2.620988538616238,,1.2175227923564251,1.7118980976330982,0.8974893605024714,"rgba(255, 0, 0, 1.0)",0.6085815593686669,0.783386407878004,-0.5453441741190742,31.74845730127297,-15.160833664274307,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.7996211300896833,1.222687619212379,False,False,False,False,-0.34282825441539394,-0.328771688410439,False,False,False,False,-86130493,-17383373.930090785,False,False,False,False,10117076.47473717,False,False,False,False
2024-11-08 00:00:00+00:00,0.3726,0.4649,0.34,0.4515,8936561,,,,,0.7401457277372933,0.7755416057749701,0.8825465784179797,0.9317410373247859,1.0380514669924223,1.0546346634000454,1.092684880681093,1.1950741438608303,1.6871113581611006,1.892961269615737,1.9752887628984763,2.484135050141158,2.712832290305385,,,,0.752917553525529,0.7866882185145838,0.8690765851105877,0.9438160988785822,1.0656799161647077,1.1246373318933396,1.1545193150478155,1.3588001213939402,1.4986103746484443,1.7368093964353963,2.0683420290878334,2.226697008233626,2.5877823407721854,,1.1950741438608303,1.6871113581611006,0.877515953567678,"rgba(255, 0, 0, 1.0)",0.6249465884925391,0.7638232763880941,-0.6260107401046556,30.310488336607882,-16.521096214386098,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.7745055122918406,1.2332626981569867,False,False,False,False,-0.34282825441539394,-0.3357999714129165,False,False,False,False,-95067054,-23137720.601935912,False,False,False,False,10029630.884015897,False,False,False,False
