date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-06-27 00:00:00+00:00,2.53,2.62,2.44,2.57,4264021,3.1911507987784162,"rgba(239, 83, 80, 0.5)",1.049077243611287,3.1911507987784162,-0.630221275701784,3,0.192599520032351,0.577798560097053,0.0,0.0,0.0,0.0,41.06547088492267,-13.262537767550917,True,False,False,True,True,0.0
2022-06-28 00:00:00+00:00,2.36,2.56,2.35,2.55,3335878,3.179730044866063,"rgba(239, 83, 80, 0.5)",1.0515040621855845,3.179730044866063,-0.7795785811442595,3,0.19362624785157287,0.5808787435547186,0.0,0.0,0.0,0.0,40.577261534670356,-13.262537767550917,True,False,False,True,True,0.0
2022-06-29 00:00:00+00:00,2.39,2.42,2.3,2.36,4127227,3.1671186655681898,"rgba(239, 83, 80, 0.5)",1.0562275723936945,3.1671186655681898,-0.7357492702136441,3,0.19419631225814973,0.5825889367744492,0.0,0.0,0.0,0.0,40.83786698957189,-13.262537767550917,True,False,False,True,True,0.0
2022-06-30 00:00:00+00:00,2.38,2.42,2.24,2.42,5584597,3.152916976748082,"rgba(239, 83, 80, 0.5)",1.0619169306341998,3.152916976748082,-0.7278506957097662,2,0.1400793137286389,0.2801586274572778,0.0,0.0,0.0,0.0,40.86600573091812,-13.262537767550917,True,False,False,True,True,0.0
2022-07-01 00:00:00+00:00,2.42,2.465,2.32,2.37,3547425,3.147451256795569,"rgba(239, 83, 80, 0.5)",1.064374502269325,3.147451256795569,-0.6834542308600867,2,0.14141663903030796,0.2828332780606159,0.0,0.0,0.0,0.0,41.75921581258062,-12.480462932544668,True,False,False,True,True,0.0
2022-07-05 00:00:00+00:00,2.53,2.54,2.31,2.39,3675001,3.1440369238879717,"rgba(239, 83, 80, 0.5)",1.0567675513837704,3.1440369238879717,-0.5810520232987182,2,0.1434663196428878,0.2869326392857756,0.0,0.0,0.0,0.0,44.58310870565455,-9.684192828778961,True,False,False,True,True,0.0
2022-07-06 00:00:00+00:00,2.43,2.54,2.405,2.53,3283963,3.1406900248520584,"rgba(239, 83, 80, 0.5)",1.0482747387626585,3.1406900248520584,-0.6779616054574855,2,0.146003062921437,0.292006125842874,0.0,0.0,0.0,0.0,44.69287890871259,-9.484216481483315,True,False,False,True,True,0.0
2022-07-07 00:00:00+00:00,2.59,2.59,2.43,2.43,3539157,3.1392426530140045,"rgba(239, 83, 80, 0.5)",1.0335498174859388,3.1392426530140045,-0.531413816462192,2,0.14851458209815177,0.29702916419630354,0.0,0.0,0.0,0.0,47.650413185128194,-6.594469811543007,True,False,False,False,True,0.0
2022-07-08 00:00:00+00:00,2.49,2.55,2.43,2.52,2055146,3.1374293875237327,"rgba(239, 83, 80, 0.5)",1.02068254852567,3.1374293875237327,-0.6343102353017743,2,0.150737063055067,0.301474126110134,0.0,0.0,0.0,0.0,47.88183426865579,-6.3114951284541405,True,False,False,False,True,0.0
2022-07-11 00:00:00+00:00,2.3,2.48,2.28,2.45,2306991,3.1329131431955717,"rgba(239, 83, 80, 0.5)",1.0041914321644179,3.1329131431955717,-0.8294366158854038,2,0.15292689062647585,0.3058537812529517,0.0,0.0,0.0,0.0,45.30898021507665,-6.3114951284541405,True,False,False,True,False,0.0
2022-07-12 00:00:00+00:00,2.23,2.35,2.22,2.3,2564074,3.0189637504427087,"rgba(239, 83, 80, 0.5)",0.9894292649150127,3.0189637504427087,-0.7973927782603812,1,0.18824400300854385,0.18824400300854385,0.0,0.0,0.0,0.0,42.73450137346748,-2.8705739955695293,True,False,False,True,False,0.0
2022-07-13 00:00:00+00:00,3.28,3.47,3.16,3.32,256121342,3.325749971572243,#000000,0.9645070999976817,3.325749971572243,-0.047433524929317086,0,,,0.0,0.0,0.0,0.0,51.71862211579108,-3.399754401405822,True,False,True,False,True,0.0
2022-07-14 00:00:00+00:00,3.28,3.47,3.2214,3.29,68034503,3.3326232500367334,#000000,0.942933547857784,3.3326232500367334,-0.05580801548135226,0,,,0.0,0.0,0.0,0.0,57.70803594400682,1.7303215900516378,True,False,True,False,True,0.0
2022-07-15 00:00:00+00:00,3.49,3.53,3.32,3.39,29147993,3.340868990184867,#000000,0.9226657032750226,3.340868990184867,0.16163059847763867,0,,,0.0,0.0,0.0,0.0,62.81942726669547,5.985048870155076,True,False,True,False,True,0.0
2022-07-18 00:00:00+00:00,3.65,3.8,3.53,3.53,23109138,3.3548424599067665,#000000,0.8940015921948008,3.3548424599067665,0.33015325998314243,1,0.12737699279867368,0.12737699279867368,0.0,0.0,0.0,0.0,66.98986379352378,9.40288727896742,True,False,True,False,True,0.0
2022-07-19 00:00:00+00:00,3.69,3.74,3.49,3.7,15999126,3.3632532511827344,#000000,0.8719827876638243,3.3632532511827344,0.37471697083914945,1,0.12923624818699705,0.12923624818699705,0.0,0.0,0.0,0.0,69.95774799124057,11.81155955921217,True,False,True,False,True,0.0
2022-07-20 00:00:00+00:00,4.2,4.32,3.65,3.65,29408829,3.4695917337552045,"rgba(38, 166, 154, 0.5)",0.860622925455633,3.4695917337552045,0.8486971990179105,1,0.13218970429411858,0.13218970429411858,0.0,0.0,0.0,0.0,73.88411531352747,15.248671007287044,True,False,True,False,True,4.29031638634055
2022-07-21 00:00:00+00:00,4.14,4.29,4.04,4.08,17708011,3.492325155840136,"rgba(38, 166, 154, 0.5)",0.8511984555970499,3.492325155840136,0.7608975790558382,1,0.13484578598594593,0.13484578598594593,0.0,0.0,0.0,0.0,75.67302061232763,16.788613293713283,True,False,True,False,True,3.6299350333493834
2022-07-22 00:00:00+00:00,3.8,4.09,3.68,4.04,12246020,3.494308850028309,#000000,0.8293366935999779,3.494308850028309,0.36859716003249465,1,0.13767699138604841,0.13767699138604841,0.0,0.0,0.0,0.0,72.6555137146334,16.788613293713283,True,False,True,False,True,0.017192210210115633
2022-07-25 00:00:00+00:00,3.67,3.84,3.6,3.75,10675996,3.492662903569969,#000000,0.8091706798872419,3.492662903569969,0.21915907340431948,1,0.14006514528364866,0.14006514528364866,0.0,0.0,0.0,0.0,69.24882990316291,16.788613293713283,True,False,True,False,False,0.0
2022-07-26 00:00:00+00:00,3.45,3.63,3.42,3.63,5371643,3.4894087729344636,#000000,0.7906752046695732,3.4894087729344636,-0.04984192333555286,1,0.1427365490081762,0.1427365490081762,0.0,0.0,0.0,0.0,64.79877532259201,24.238985133077946,True,False,True,False,False,0.0
2022-07-27 00:00:00+00:00,3.87,3.92,3.52,3.55,7260224,3.4908822978437484,#000000,0.775429041368835,3.4908822978437484,0.4889134684548439,1,0.1443690578596143,0.1443690578596143,0.0,0.0,0.0,0.0,64.48162262725214,23.84073281007582,True,False,True,False,False,0.7877863612927669
2022-07-28 00:00:00+00:00,3.9,3.98,3.67,3.81,8222118,3.494428785971996,"rgba(38, 166, 154, 0.5)",0.7633742543813253,3.494428785971996,0.5312875194575405,2,0.257831915709137,0.515663831418274,0.0,0.0,0.0,0.0,64.43846209205067,23.484874517408358,True,False,True,False,False,1.080700906124978
2022-07-29 00:00:00+00:00,3.9,3.905,3.74,3.85,7599345,3.497711631638315,"rgba(38, 166, 154, 0.5)",0.752229646744552,3.497711631638315,0.5347946203698309,2,0.2596624222497709,0.5193248444995417,0.0,0.0,0.0,0.0,64.40968840191636,22.99005818028502,True,False,True,False,False,1.080700906124978
2022-08-01 00:00:00+00:00,3.85,4.01,3.65,3.83,19457694,3.505642481822698,#000000,0.7357866416169663,3.505642481822698,0.4680127345347575,2,0.2616215887535064,0.5232431775070128,0.0,0.0,0.0,0.0,63.80299708245473,21.871940138748144,True,False,True,False,False,0.5631273570150626
2022-08-02 00:00:00+00:00,4.12,4.265,3.76,3.76,18857334,3.5211057869354594,"rgba(38, 166, 154, 0.5)",0.7214419494917651,3.5211057869354594,0.8301350004479838,2,0.26420029245833077,0.5284005849166615,0.0,0.0,0.0,0.0,65.14341937660295,21.871940138748144,True,False,True,False,False,3.252625601768404
2022-08-03 00:00:00+00:00,4.55,4.66,4.1,4.1,28964349,3.5625906928172975,"rgba(38, 166, 154, 1.0)",0.7206622329871645,3.5625906928172975,1.3701416030778582,2,0.2654904277368858,0.5309808554737716,0.0,0.0,0.0,0.0,68.14850981275472,21.871940138748144,True,False,True,False,True,7.231754470777908
