date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_121,aVWAP_BoS_CHoCH_bull_165,aVWAP_BoS_CHoCH_bear_27,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-06-23 00:00:00+00:00,2.7607788142,3.1684105855,2.6773995883,3.159146227,483936,,,3.0679106009841424,2.947441323536818,#000000,0.46900802869722313,2.8136896167190764,-0.1128142788217254,0,,,0.0,0.0,0.0,0.0,49.81190700729299,-4.017083350821437,False,True,False,False,True,0.7137322076144414
2023-06-30 00:00:00+00:00,2.8904798324,2.8904798324,2.6125490792,2.6588708714,392222,,,3.0635103348442483,2.9484442617273903,#000000,0.45999093141196906,2.7992992760098154,0.19822250867055266,0,,,0.0,0.0,0.0,0.0,50.39945847156491,-3.6221644679570275,False,False,False,False,True,2.0169346911679007
2023-07-07 00:00:00+00:00,2.946065983,2.9553303414,2.7329857389,2.8534223986,145797,,,3.062394346178138,2.9493748102974995,#000000,0.4498891316100495,2.8024680861855304,0.3191850763332863,0,,,0.0,0.0,0.0,0.0,51.12809277199334,-2.857378856696215,False,False,False,False,True,2.5725874416284285
2023-07-14 00:00:00+00:00,2.8348936817,3.0477886386,2.7607788142,2.946065983,416177,,,3.059332555140344,2.9518221546339016,#000000,0.43566470462002804,2.8101913912291008,0.05670023347988181,0,,,0.0,0.0,0.0,0.0,50.953681076734604,-2.857378856696215,False,False,False,False,True,1.3857327848107488
2023-07-21 00:00:00+00:00,2.8997441908,2.9645946999,2.7051926636,2.8256293233,243882,,,3.0573443621120213,2.95278003160987,#000000,0.4246425207583906,2.8117217875307774,0.20728589099372063,0,,,0.0,0.0,0.0,0.0,51.22362732630142,-2.5736108902657975,False,False,False,False,True,2.050094674114874
2023-07-28 00:00:00+00:00,2.9553303414,3.0016521336,2.8997441908,2.9553303414,188413,,,3.056554394088446,2.954352711405798,#000000,0.4112892265022887,2.8188081031630987,0.33193730698448387,0,,,0.0,0.0,0.0,0.0,51.759854333109246,-1.924827102360915,False,False,False,False,True,2.6214153465963754
2023-08-04 00:00:00+00:00,3.0387095673,3.1313531517,2.8373950585,2.9645946999,251314,,,3.05601771395276,2.9569413583124486,#000000,0.4029209142823688,2.8307692191727383,0.5160822899888894,0,,,0.0,0.0,0.0,0.0,52.66021362359406,-0.9299567776178321,False,False,False,False,True,3.4787599630779695
2023-08-11 00:00:00+00:00,3.1220887933,3.1869393023,2.7793075311,3.0665026427,400908,,,3.0556035148915104,2.9612621423719583,#000000,0.4021178352684138,2.849293034555231,0.6783975611593498,0,,,0.0,0.0,0.0,0.0,53.815052458630255,0.2901832317502411,False,False,False,False,True,4.332914484119829
2023-08-18 00:00:00+00:00,3.2610541698,3.2885693144,2.9645946999,3.1869393023,343177,,,3.057128310897087,2.9669112250878746,"rgba(38, 166, 154, 1.0)",0.4001401385152125,2.8738941980592463,0.9675609479653204,0,,,0.0,0.0,0.0,0.0,55.45931334255279,1.9495958918511036,True,False,True,False,True,5.739638289833714
2023-08-25 00:00:00+00:00,3.087930068,3.2610541698,2.9760742326,3.2517898114,225631,,,3.0575679623372234,2.969779659144704,"rgba(38, 166, 154, 1.0)",0.3948142689140361,2.8846909067956847,0.5147715703470863,0,,,0.0,0.0,0.0,0.0,55.25128246070507,1.9495958918511036,True,False,True,False,True,3.7469013148674506
2023-09-01 00:00:00+00:00,3.3304865083,3.3864610715,3.0506136925,3.0786009741,295540,,,3.0597723329849953,2.9752949955088424,"rgba(38, 166, 154, 1.0)",0.39371825516638065,2.906417966163523,1.077086308729247,0,,,0.0,0.0,0.0,0.0,56.508376497739334,3.0811116957217806,True,False,True,False,True,6.1753903022259635
2023-09-08 00:00:00+00:00,3.4517647285,3.6290175119,3.2371955697,3.3304865083,500014,,,3.066779450221531,3.078246091991496,"rgba(38, 166, 154, 1.0)",0.39522076521237914,3.103153676243484,0.8820666395632918,0,,,0.0,0.0,0.0,0.0,58.04057589801232,4.604039981368238,True,False,True,False,True,7.351730672655979
2023-09-15 00:00:00+00:00,3.3957901654,3.5030747448,3.283841039,3.4517647285,267752,,,3.0699849613133754,3.079812911298665,"rgba(38, 166, 154, 1.0)",0.3948851528243592,3.1147065578072186,0.7118110305803375,0,,,0.0,0.0,0.0,0.0,58.666787484757606,5.242603298525012,True,False,True,False,True,6.694130496168043
2023-09-22 00:00:00+00:00,3.3491446961,3.4797520101,3.3211574145,3.3957901654,127713,,,3.071441346418609,3.080799766878783,"rgba(38, 166, 154, 1.0)",0.39618090838922515,3.119887570468024,0.5786677772133946,0,,,0.0,0.0,0.0,0.0,58.716505923603336,5.352562431752553,True,False,True,False,True,6.143153142002049
2023-09-29 00:00:00+00:00,3.3957901654,3.5077392917,3.3398156022,3.3491446961,287599,,,3.0749940369891817,3.0855933048256174,"rgba(38, 166, 154, 1.0)",0.397442271867689,3.134661417744531,0.6570230852102221,0,,,0.0,0.0,0.0,0.0,59.036073277292786,5.75333684448335,True,False,True,False,True,6.6137893739274
2023-10-06 00:00:00+00:00,3.3024992268,3.4237774469,3.1905501004,3.3771319776,406410,,,3.0783206964728245,3.085141620916116,"rgba(38, 166, 154, 1.0)",0.39845851191132586,3.2248973866362682,0.1947551322005682,0,,,0.0,0.0,0.0,0.0,58.42300634818264,5.75333684448335,True,False,True,False,True,5.491022498464048
2023-10-13 00:00:00+00:00,3.3584737899,3.5041009451,3.3118283206,3.3118283206,515746,,,3.0839501008404944,3.0929118007986665,"rgba(38, 166, 154, 1.0)",0.39723279661082483,3.2498660769093894,0.2734107402944761,0,,,0.0,0.0,0.0,0.0,58.36282404496292,5.75333684448335,True,False,True,False,True,6.071585707083731
