date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_86,aVWAP_BoS_CHoCH_bull_118,aVWAP_BoS_CHoCH_bull_146,aVWAP_BoS_CHoCH_bear_24,aVWAP_BoS_CHoCH_bear_44,aVWAP_BoS_CHoCH_bear_78,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-05-10 00:00:00+00:00,3.62,4.05,3.2,3.41,421524,3.0765674498916122,,,3.1445913828436636,3.05206504182195,2.931879105054878,3.1804463104771594,"rgba(38, 166, 154, 0.75)",1.0318169849033976,3.541568943378481,0.07601256595796604,2,0.23757741032504168,0.47515482065008335,0.0,0.0,0.0,0.0,57.78641812643847,12.91788235977711,True,False,True,False,False,0.0
2024-05-17 00:00:00+00:00,3.41,3.76,3.38,3.68,134656,3.0926985017264674,,,3.1535443875757685,3.063625758510346,2.949960236559382,3.1875866824271375,"rgba(38, 166, 154, 0.75)",1.009429485050884,3.5316923771971473,-0.12055559996943506,2,0.2386657283643961,0.4773314567287922,0.0,0.0,0.0,0.0,56.584847884696,11.671366024227588,True,False,True,False,False,0.0
2024-05-24 00:00:00+00:00,3.2,3.46,3.175,3.35,102160,3.097720942312704,,,3.1557816273329298,3.067603937602812,2.957486516839228,3.1860809796504554,"rgba(38, 166, 154, 0.75)",0.9866885603548559,3.505507871099381,-0.3096294853053802,2,0.24122951799762332,0.48245903599524664,0.0,0.0,0.0,0.0,54.624859498732185,9.704675804119965,True,False,True,False,False,0.0
2024-05-31 00:00:00+00:00,2.84,3.28,2.675,3.25,98548,3.0934973391264373,,,3.1519716045319197,3.0652169578566535,2.9569280003178364,3.1758726519912828,#000000,0.9688151227980316,3.4584111862044606,-0.6383170242207095,1,0.3317032257610038,0.3317032257610038,0.0,0.0,0.0,0.0,51.56617467245994,6.7287595827464415,True,False,False,False,False,0.0
2024-06-07 00:00:00+00:00,2.5,2.86,2.46,2.86,83008,3.0832861349673624,,,3.144273328083762,3.058533627776707,2.9506603478573674,3.161139476278166,#000000,0.9418962815646041,3.405309645327905,-0.9611564065462447,2,0.2857318830365363,0.5714637660730726,0.0,0.0,0.0,0.0,48.05555591842465,3.392832115724822,True,False,False,False,False,0.0
2024-06-14 00:00:00+00:00,1.955,2.8199,1.95,2.5,97078,3.0631345999180852,,,3.129612525960264,3.0448426165411906,2.9361264689356505,3.136450022947474,"rgba(239, 83, 80, 0.5)",0.9338264624554097,3.3280268484035584,-1.470323345510377,2,0.2878595515704352,0.5757191031408704,0.0,0.0,0.0,0.0,43.82428900328374,-0.5566843139572981,False,False,False,True,False,0.0
2024-06-21 00:00:00+00:00,2.0,2.1,1.815,1.97,115858,3.0328127602325843,,,3.1075934690852445,3.0237979706065112,2.913095538925141,3.1020516835574914,"rgba(239, 83, 80, 0.5)",0.9212209206236022,3.2302193819622937,-1.3354227573658675,2,0.2926986240492798,0.5853972480985596,0.0,0.0,0.0,0.0,41.05763214972558,-3.0441216973252168,False,False,False,True,False,0.0
2024-06-28 00:00:00+00:00,1.93,2.27,1.79,2.03,151152,2.9965724813502206,1.9966666666666666,,3.0807003541144122,2.9981759404605395,2.8854076142294667,2.9656037812361804,"rgba(239, 83, 80, 1.0)",0.9077369032354573,2.8420442345890935,-1.0047451319190435,2,0.2974250731656086,0.5948501463312172,0.0,0.0,0.0,0.0,38.86827036519223,-4.992135448542328,False,True,False,True,False,0.0
2024-07-05 00:00:00+00:00,1.89,2.03,1.8501,1.9727,73799,2.9785532452925465,1.9726193554744513,,3.0671812512464913,2.985242976029893,2.8714226232019837,2.9460942353353192,"rgba(239, 83, 80, 1.0)",0.8891229204595329,2.7959819350276285,-1.0189613991273359,2,0.30702280987554653,0.6140456197510931,0.0,0.0,0.0,0.0,37.178461153591805,-6.500682290036011,False,True,False,True,False,0.0
2024-07-12 00:00:00+00:00,2.01,2.08,1.9,1.95,50794,2.9673359901077663,1.9770490246423325,,3.0586430560959736,2.977122960599975,2.862757119274678,2.9358012292725033,"rgba(239, 83, 80, 1.0)",0.8720945820946951,2.773272858955164,-0.8752179805106107,2,0.3170630578270038,0.6341261156540076,0.0,0.0,0.0,0.0,36.75133231424451,-6.864436902561835,False,True,False,True,False,0.0
