date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_276,aVWAP_BoS_CHoCH_bull_611,aVWAP_BoS_CHoCH_bear_149,aVWAP_BoS_CHoCH_bear_578,aVWAP_BoS_CHoCH_bear_615,aVWAP_BoS_CHoCH_bear_828,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-08-11 18:00:00+00:00,3.005,3.025,2.98,3.02,33080.0,3.1746860201768548,3.1548231057049483,3.099674333672126,3.1454112708479696,3.1727099306174735,,3.1191079514197955,"rgba(38, 166, 154, 1.0)",0.17069724528986585,3.1191079514197955,-0.5806066246206693,0,,,0.0,0.0,0.0,0.0,70.55255313127373,19.60662972541941,True,False,True,False,False,1.0220364178158263
2025-08-11 19:00:00+00:00,3.025,3.03,3.0,3.02,170373.0,3.1733216871245618,3.1525173220191403,3.0990957758434177,3.143337810079039,3.1678424806573973,,3.1184357435883157,"rgba(38, 166, 154, 1.0)",0.16443673993800922,3.1184357435883157,-0.5986237845959778,0,,,0.0,0.0,0.0,0.0,69.84326101741642,19.60662972541941,True,False,True,False,False,1.0220364178158263
2025-08-12 14:00:00+00:00,2.955,3.15,2.935,3.055,156264.0,3.1723265908973906,3.150921437233271,3.0987627394317534,3.141930617483023,3.1644720924300813,,3.114297698020395,"rgba(38, 166, 154, 1.0)",0.1580013114325745,3.114297698020395,-0.37529877114785504,0,,,0.0,0.0,0.0,0.0,70.89231178545556,19.60662972541941,True,False,True,False,False,3.283473791229966
2025-08-12 15:00:00+00:00,3.055,3.075,3.01,3.01,82366.0,3.1717464850026267,3.149981205001127,3.0985388396275195,3.1410910418991826,3.1625532115073844,,3.1137767447547158,"rgba(38, 166, 154, 1.0)",0.14955013621940363,3.1137767447547158,-0.6939261131963536,0,,,0.0,0.0,0.0,0.0,67.38321078909613,25.555041430370125,True,False,True,False,False,0.2649582792230163
2025-08-12 16:00:00+00:00,3.015,3.125,2.985,3.115,90789.0,3.1713086731085656,3.1493351951850683,3.098452575068881,3.1405409638289132,3.161180664266987,,3.1147525582938993,"rgba(38, 166, 154, 1.0)",0.14268916636590567,3.1147525582938993,0.0017341309953860583,0,,,0.0,0.0,0.0,0.0,69.16939344799115,25.555041430370125,True,False,True,False,False,6.549195747620278
2025-08-12 17:00:00+00:00,3.115,3.125,3.03,3.055,41843.0,3.1710978181950833,3.1490214181875253,3.0984045988963747,3.1402714072315776,3.160526599120765,,3.1150133039686616,"rgba(38, 166, 154, 1.0)",0.1360156323819109,3.1150133039686616,-0.4412235778910571,0,,,0.0,0.0,0.0,0.0,66.306455013011,23.857484610845177,True,False,True,False,False,2.737696405317571
2025-08-12 18:00:00+00:00,3.055,3.09,3.04,3.065,44533.0,3.170863318791937,3.1486692256929616,3.098344759012658,3.1399665229164744,3.1598028322406737,,3.115170532677854,"rgba(38, 166, 154, 1.0)",0.1294008020360245,3.115170532677854,-0.38771423274398764,1,0.2506908127003752,0.2506908127003752,0.0,0.0,0.0,0.0,64.79720127077081,22.03189105562889,True,False,True,False,False,3.307561678087893
2025-08-12 19:00:00+00:00,3.065,3.075,3.045,3.07,124484.0,3.1702030488543476,3.1476809131726626,3.0981703147946744,3.1391085690705354,3.157802076332413,,3.115394791932546,"rgba(38, 166, 154, 1.0)",0.12379516647770242,3.115394791932546,-0.36669276534898076,1,0.25395373460258364,0.25395373460258364,0.0,0.0,0.0,0.0,64.00518949735113,20.827235387852156,True,False,True,False,False,3.5948604641586144
2025-08-13 14:00:00+00:00,3.075,3.08,3.035,3.035,58687.0,3.169856088054407,3.147150473669069,3.0980574299344745,3.1386407168900265,3.1567582365334736,,3.1152249792358306,"rgba(38, 166, 154, 1.0)",0.11741118936194354,3.1152249792358306,-0.6832822295030238,1,0.2574911855115301,0.2574911855115301,0.0,0.0,0.0,0.0,61.04486296070696,17.625967576863857,True,False,True,False,False,1.4077544232107968
2025-08-13 15:00:00+00:00,3.035,3.07,3.03,3.055,47776.0,3.169579016400201,3.1467302233186936,3.0979690959402375,3.138270552664267,3.1559363109584475,,3.1151005181326514,"rgba(38, 166, 154, 1.0)",0.11183993549340915,3.1151005181326514,-0.5373797639233533,1,0.2622301852641397,0.2622301852641397,0.0,0.0,0.0,0.0,60.11686588883966,16.373323611956764,True,False,True,False,False,2.5827962336224815
