date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_33,aVWAP_BoS_CHoCH_bull_111,aVWAP_BoS_CHoCH_bear_43,aVWAP_BoS_CHoCH_bear_74,aVWAP_BoS_CHoCH_bear_115,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-04-26 00:00:00+00:00,2.33,2.47,2.27,2.33,2281696,3.2522551261776735,2.3018194368104035,2.8666043412370192,2.383384364926822,,2.755599393554953,#000000,1.0756385407144335,2.3282073804357353,0.0016665631589159572,8,0.21480988699125578,1.7184790959300462,0.0,0.0,0.0,0.0,49.075905124838904,-4.727495799025235,True,False,False,False,True,0.0
2024-05-03 00:00:00+00:00,2.41,2.41,2.32,2.34,1954915,3.240285934853475,2.313392958838731,2.8584506289151324,2.3832747514654566,,2.752891295186828,#000000,1.0668771976919185,2.333421576014151,0.071778105438488,8,0.21422010888466175,1.713760871077294,0.0,0.0,0.0,0.0,49.714289730889746,-4.026290032000162,True,False,False,False,True,0.0
2024-05-10 00:00:00+00:00,2.46,2.49,2.4,2.42,1735317,3.230775542768098,2.3292591253548625,2.852464338903184,2.3851394902607943,,2.75292325003303,#000000,1.0403283958304594,2.3450216425246766,0.11052121420134839,8,0.21370887766981522,1.7096710213585218,0.0,0.0,0.0,0.0,50.57485965590872,-3.10623851458962,True,False,False,False,True,0.0
2024-05-17 00:00:00+00:00,2.54,2.6,2.41,2.41,2025587,3.2208833502735073,2.351633106662435,2.846816256483758,2.389294522016273,,2.7550870532170544,#000000,1.0100833967888367,2.363200988847911,0.17503407314104155,8,0.2133181120294945,1.706544896235956,0.0,0.0,0.0,0.0,51.830970238770234,-1.815763726139508,True,False,False,False,True,0.0
2024-05-24 00:00:00+00:00,2.72,2.78,2.49,2.56,1685096,3.214531364281752,2.379793813654751,2.8442842898744285,2.396311960613458,,2.761082915874528,"rgba(38, 166, 154, 1.0)",0.9857474778512476,2.387855756695803,0.3369465819260446,7,0.22079017390434458,1.545531217330412,0.0,0.0,0.0,0.0,54.04974356146673,0.3649607435775053,True,False,True,False,True,0.0
2024-05-31 00:00:00+00:00,2.69,2.8,2.63,2.77,1223816,3.2103637586049945,2.3999207079011033,2.842918773136368,2.40197844493449,,2.7657881652303065,"rgba(38, 166, 154, 1.0)",0.9600623478252429,2.4056731384978707,0.2961545801126287,7,0.220674628509717,1.544722399568019,0.0,0.0,0.0,0.0,55.3278673470353,1.6016307130899037,True,False,True,False,True,0.0
2024-06-07 00:00:00+00:00,3.32,3.32,2.69,2.7,2937571,3.208425032720934,2.4913554689697435,2.8491319834789137,2.4317051071778155,,2.7958180746061214,"rgba(38, 166, 154, 1.0)",0.9145223141416885,2.4895683505681427,0.9080496304906968,7,0.22143931280525436,1.5500751896367806,0.0,0.0,0.0,0.0,59.65852122349349,5.721936325166666,True,False,True,False,True,0.73049967358644
2024-06-14 00:00:00+00:00,3.16,3.39,2.91,3.33,1846510,3.2077641150634193,2.5409243728105544,2.853516204366763,2.4502602138251803,3.1533333333333338,2.8509892395268888,"rgba(38, 166, 154, 1.0)",0.878416880653043,2.707584741421757,0.5150347955994461,8,0.2586516376688957,2.0692131013511657,0.0,0.0,0.0,0.0,61.28643558503292,7.161285369178742,True,False,True,False,True,0.0
2024-06-21 00:00:00+00:00,3.1,3.17,2.995,3.14,846862,3.207110600161252,2.5590993774515858,2.8550581209009787,2.457697078163757,3.1328957443185224,2.8544369892852206,"rgba(38, 166, 154, 1.0)",0.8340042344395315,2.7156559635935564,0.4608418285366752,8,0.2588829022494367,2.0710632179954938,0.0,0.0,0.0,0.0,61.918801989520304,7.679154386811561,True,False,True,False,True,0.0
2024-06-28 00:00:00+00:00,3.19,3.22,3.06,3.1,758099,3.2068647110504327,2.576347538247595,2.8568206756507983,2.4649145185332006,3.138116913049538,2.8606333139993763,"rgba(38, 166, 154, 1.0)",0.759637846383172,2.7295218836918944,0.6061811144620537,8,0.25917146606550034,2.0733717285240028,0.0,0.0,0.0,0.0,62.825799109262825,8.515132533549966,True,False,True,False,True,0.0
