date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_35,aVWAP_BoS_CHoCH_bull_68,aVWAP_BoS_CHoCH_bull_90,aVWAP_BoS_CHoCH_bull_158,aVWAP_BoS_CHoCH_bear_27,aVWAP_BoS_CHoCH_bear_110,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-12-23 00:00:00+00:00,6.2970066908,6.2970066908,5.7537005973,5.9941803436,25284515,6.471316987193394,,,,6.3814621346941705,,6.477774853291596,#000000,,6.436440351159893,,0,,,0.0,0.0,0.0,0.0,49.356222432289215,-0.8800123327416287,False,False,False,False,False,2.743763152821913
2022-12-30 00:00:00+00:00,6.368259949,6.4216998926,6.0654336018,6.3326333199,19400984,6.466142505926698,,,,6.379464249926676,,6.4701741316623576,#000000,,6.429060601565759,,0,,,0.0,0.0,0.0,0.0,49.43030679868906,-0.8800123327416287,False,False,False,False,False,3.1053058828364364
2023-01-06 00:00:00+00:00,5.9407404,6.2745619145,5.6911758632,6.2524734045,24378947,6.449360798429588,,,,6.369034313682258,,6.352930303772731,#000000,,6.309287992074404,,0,,,0.0,0.0,0.0,0.0,48.49066810203552,2.9337990801492424,False,False,False,False,False,0.7837167139550623
2023-01-13 00:00:00+00:00,6.368259949,6.3949799208,5.9888363492,6.1188735454,24256108,6.442907270099462,,,,6.3661173605214145,,6.375018368236005,#000000,,6.33757664190464,,0,,,0.0,0.0,0.0,0.0,48.893334866253845,2.9337990801492424,False,False,False,False,False,2.9684650884872354
2023-01-20 00:00:00+00:00,6.5374864372,6.6399129958,6.2435667472,6.4484198645,16300227,6.4435641417263225,,,,6.367869584478097,,6.394063515352765,#000000,,6.361637224083941,,0,,,0.0,0.0,0.0,0.0,49.592417538903625,2.9337990801492424,False,False,False,False,False,3.8148692667456388
2023-01-27 00:00:00+00:00,6.662179639,6.8386205195,6.3326333199,6.564206409,26700655,6.449230128181361,,,,6.374193900840557,,6.423260955983155,#000000,,6.457560627617653,,0,,,0.0,0.0,0.0,0.0,50.4002635131942,2.9337990801492424,False,False,False,False,False,4.438277682965666
2023-02-03 00:00:00+00:00,6.1812201463,6.6799929535,6.1277802027,6.5285797799,36372370,6.443965677335662,,,,6.372670901470552,,6.41927916199773,#000000,,6.413183967490584,,0,,,0.0,0.0,0.0,0.0,49.719221782847974,2.9337990801492424,False,False,False,False,False,1.7913897735336874
2023-02-10 00:00:00+00:00,6.5998330381,6.6265530099,6.032033637,6.1812201463,34286159,6.442989643573674,,,,6.37413269517518,,6.422696821816153,#000000,,6.4150576333110605,,0,,,0.0,0.0,0.0,0.0,50.311683453749055,2.9337990801492424,False,False,False,False,False,3.8955581283535032
2023-02-17 00:00:00+00:00,6.1099668881,6.7423395544,6.1099668881,6.5374864372,30275584,6.438834642514496,,,,6.372700131389214,,6.4186644594915805,#000000,,6.404040342202878,,0,,,0.0,0.0,0.0,0.0,49.49958846374975,2.9337990801492424,False,False,False,False,False,1.2776501084574825
2023-02-24 00:00:00+00:00,6.2079401181,6.221300104,5.8605804845,6.1099668881,22240918,6.430496866203158,,,,6.367361706987042,,6.406887003293268,#000000,,6.379779596416206,,0,,,0.0,0.0,0.0,0.0,49.18327666690011,2.7162881518905806,False,False,False,False,False,1.7735269967665381
