date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_122,aVWAP_BoS_CHoCH_bull_277,aVWAP_BoS_CHoCH_bull_383,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-11-14 17:00:00+00:00,8.875,9.235,8.79,9.105,6258.0,8.841438438255622,,,8.919161052085604,"rgba(239, 83, 80, 1.0)",1.2173027264932803,9.177034967187236,-0.05917588584948693,2,0.1800112572703491,0.3600225145406982,0.0,0.0,0.0,0.0,40.66825850348741,-2.3988098508900393,False,True,False,True,False,4.232117496128733
2024-11-15 17:00:00+00:00,10.075,10.76,10.05,10.6,16747.0,8.891722404542856,,,9.076856789541125,"rgba(38, 166, 154, 1.0)",1.1852320941980787,9.375638310085776,1.0330142896970906,3,0.15882046049211354,0.47646138147634065,0.0,0.0,0.0,0.0,48.27206248163452,-9.066209003364506,False,True,False,False,True,11.772683572686581
2024-11-18 17:00:00+00:00,9.885,9.905,9.555,9.58,26668.0,8.928663782953583,,,9.08142245419048,"rgba(38, 166, 154, 1.0)",1.1223058952543061,9.364153826461624,0.1923238347504773,3,0.16117313614470244,0.48351940843410735,0.0,0.0,0.0,0.0,48.566272204808456,-8.739722555790983,False,True,False,False,True,5.780216386707696
2024-11-19 17:00:00+00:00,9.805,9.91,9.72,9.875,8917.0,8.942646740775984,,,9.092727150365304,"rgba(38, 166, 154, 1.0)",1.062307322222197,9.372511385974638,0.47301623881705573,3,0.1633344525194972,0.49000335755849156,0.0,0.0,0.0,0.0,49.92170262932226,-7.206938279688849,False,True,False,False,True,7.16278412904088
2024-11-20 17:00:00+00:00,9.74,9.74,9.55,9.63,6543.0,8.950452800427017,,,9.096408378525531,"rgba(38, 166, 154, 1.0)",0.9869428271912172,9.373253018402115,0.26014372314612444,3,0.16583175923831098,0.49749527771493296,0.0,0.0,0.0,0.0,49.77145003339168,-6.973564033835508,False,True,False,False,True,5.795182400804418
2024-11-21 17:00:00+00:00,9.71,9.89,9.71,9.8,12852.0,8.96873021745317,,,9.110844473881373,"rgba(38, 166, 154, 1.0)",0.9155023334337122,9.383452920385404,0.4549929196272853,3,0.16841793920403256,0.5052538176120976,0.0,0.0,0.0,0.0,50.42569389871916,-5.8694228136099795,False,True,False,False,True,6.6012829387292555
2024-11-22 17:00:00+00:00,9.95,9.975,9.84,9.87,10347.0,8.984500902558262,,,9.125009097547647,"rgba(38, 166, 154, 1.0)",0.8356139513410041,9.394807265003813,0.5686749655550759,3,0.1709282231792926,0.5127846695378778,0.0,0.0,0.0,0.0,51.18888832493986,-4.642808854383432,False,True,False,False,True,6.934405134134135
2024-11-25 17:00:00+00:00,9.38,9.525,9.33,9.365,5919.0,8.988573022117345,,,9.124446337389678,"rgba(38, 166, 154, 1.0)",0.7689173212035854,9.391205178088942,-0.03408061876915832,3,0.1743387638363881,0.5230162915091643,0.0,0.0,0.0,0.0,49.20930739003889,-4.642808854383432,False,True,False,False,True,4.098503621783422
2024-11-26 17:00:00+00:00,9.435,9.455,9.31,9.415,2382.0,8.990138137197288,,,9.124215726098573,"rgba(38, 166, 154, 1.0)",0.7061872757764189,9.38977242293209,0.03572363583041427,3,0.1782557647973622,0.5347672943920866,0.0,0.0,0.0,0.0,48.17298484356477,-4.642808854383432,False,True,False,True,False,4.345571778961695
2024-11-27 17:00:00+00:00,9.66,9.775,9.645,9.765,10581.0,9.002603594962647,,,9.133318190133066,"rgba(38, 166, 154, 1.0)",0.6402725208073144,9.395354975480053,0.5773245180878054,3,0.18191133902598722,0.5457340170779617,0.0,0.0,0.0,0.0,49.43980247883414,-4.642808854383432,False,True,False,False,False,6.06148477941305
