date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_286,aVWAP_BoS_CHoCH_bull_386,aVWAP_BoS_CHoCH_bull_498,aVWAP_BoS_CHoCH_bull_555,aVWAP_BoS_CHoCH_bull_649,aVWAP_BoS_CHoCH_bull_750,aVWAP_BoS_CHoCH_bear_171,aVWAP_BoS_CHoCH_bear_732,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-25 15:00:00+00:00,111.12,111.12,107.09,108.7,73726.0,,,,,,,,,119.61806048586358,"rgba(239, 83, 80, 1.0)",4.9465862056664855,119.61806048586358,-2.2071909862516015,0,,,0.0,0.0,0.0,0.0,29.671982885098487,-23.585532430728204,False,True,False,True,False,0.0
2025-02-25 16:00:00+00:00,108.5,108.89,107.11,108.66,68006.0,,,,,,,,,119.23839568470343,"rgba(239, 83, 80, 1.0)",5.161275660284123,119.23839568470343,-2.0495699863705994,0,,,0.0,0.0,0.0,0.0,27.341176260962616,-23.585532430728204,False,True,False,True,False,0.0
2025-02-25 17:00:00+00:00,108.55,109.385,107.83,109.36,40023.0,,,,,,,,,119.07750165907771,"rgba(239, 83, 80, 1.0)",5.357554381053526,119.07750165907771,-1.8137943113452508,0,,,0.0,0.0,0.0,0.0,27.086252606733133,-23.585532430728204,False,True,False,True,False,0.0
2025-02-25 18:00:00+00:00,109.38,110.7,109.325,109.93,54236.0,,,,,,,,,118.9278970438973,"rgba(239, 83, 80, 1.0)",5.518773913969788,118.9278970438973,-1.630415955457195,0,,,0.0,0.0,0.0,0.0,27.99639494264418,-23.585532430728204,False,True,False,True,False,0.0
2025-02-25 19:00:00+00:00,110.025,111.12,109.91,110.92,19175.0,,,,,,,,,118.88472001693668,"rgba(239, 83, 80, 1.0)",5.645335161093715,118.88472001693668,-1.4108498060181804,4,0.6293113360051774,2.5172453440207097,0.0,0.0,0.0,0.0,30.460318595868785,-23.585532430728204,False,True,False,True,True,0.0
2025-02-25 20:00:00+00:00,110.9,111.825,110.385,110.89,52192.0,,,,,,,,,118.77658063593522,"rgba(239, 83, 80, 1.0)",5.770824813406394,118.77658063593522,-1.3666297090865835,4,0.6220543907846627,2.488217563138651,0.0,0.0,0.0,0.0,32.071096876671795,-23.585532430728204,False,True,False,True,True,0.0
2025-02-26 15:00:00+00:00,113.36,114.73,113.23,114.115,26438.0,,,,,,,,,118.78292684805318,"rgba(239, 83, 80, 1.0)",5.812152162991406,118.78292684805318,-0.8031322506963908,4,0.6215229271581828,2.486091708632731,0.0,0.0,0.0,0.0,38.452786913077865,-17.693851088939354,False,False,False,True,True,0.0
2025-02-26 16:00:00+00:00,114.13,114.6,113.62,113.62,30043.0,,,,,,,,,118.77903243565918,"rgba(239, 83, 80, 1.0)",5.864793376697194,118.77903243565918,-0.8796614141868578,4,0.6186454758946606,2.4745819035786423,0.0,0.0,0.0,0.0,42.011380084249495,-14.413544410630472,False,False,False,True,True,0.0
2025-02-26 17:00:00+00:00,113.625,114.25,112.71,112.82,15156.0,,,,,,,,,118.76633145597829,"rgba(239, 83, 80, 1.0)",5.932276212640725,118.76633145597829,-1.0023692833633777,4,0.6157352734432887,2.462941093773155,0.0,0.0,0.0,0.0,43.25387123007348,-13.216408755025846,False,False,False,True,True,0.0
2025-02-26 18:00:00+00:00,112.83,113.18,112.42,112.645,10079.0,,,,,,,,,118.75338463210234,"rgba(239, 83, 80, 1.0)",6.024810873634376,118.75338463210234,-1.0138715986643996,4,0.6128123313161455,2.451249325264582,0.0,0.0,0.0,0.0,43.827643940087825,-12.470229630349351,True,False,False,True,True,0.0
2025-02-26 19:00:00+00:00,112.62,113.91,112.485,113.13,10861.0,,,,,,,,,118.74242381589507,"rgba(239, 83, 80, 1.0)",6.104684382866519,118.74242381589507,-0.9193634697392329,4,0.6063011671656146,2.425204668662458,0.0,0.0,0.0,0.0,45.117711388458694,-10.946913878614303,True,False,False,True,True,0.0
2025-02-26 20:00:00+00:00,113.065,114.15,113.0,113.275,46256.0,,,,,,,,,118.70044388691589,"rgba(239, 83, 80, 1.0)",6.17927576516714,118.70044388691589,-0.878006435236207,4,0.6005501264826286,2.4022005059305145,0.0,0.0,0.0,0.0,46.263149340072474,-9.52415579732591,True,False,False,True,True,0.0
2025-02-27 15:00:00+00:00,111.11,113.19,110.2,112.88,42312.0,,,,,,,,,118.61853801928056,"rgba(239, 83, 80, 1.0)",6.257921104452302,118.61853801928056,-0.9170038937048582,4,0.5944444342034754,2.3777777368139015,0.0,0.0,0.0,0.0,46.253610315815195,-9.125671635521229,True,False,False,True,True,0.0
2025-02-27 16:00:00+00:00,112.87,114.91,112.78,113.38,15131.0,,,,,,,,,117.90244699621992,"rgba(239, 83, 80, 1.0)",6.324047857686269,117.90244699621992,-0.715119034199485,4,0.5891626701030297,2.356650680412119,0.0,0.0,0.0,0.0,47.38879438513749,-7.627699855998053,True,False,False,True,True,0.0
2025-02-27 17:00:00+00:00,113.38,113.84,112.7,113.29,21717.0,,,,,,,,,117.84492786088092,"rgba(239, 83, 80, 1.0)",6.388310035377751,117.84492786088092,-0.7130098313413445,4,0.5840992410888144,2.3363969643552576,0.0,0.0,0.0,0.0,47.93479495718289,-6.703455436983205,True,False,False,False,True,0.0
2025-02-27 18:00:00+00:00,113.38,114.14,113.315,113.4,15730.0,,,,,,,,,117.83828004085079,"rgba(239, 83, 80, 1.0)",6.448508307150373,117.83828004085079,-0.6882646077899033,4,0.5793528858715504,2.3174115434862017,0.0,0.0,0.0,0.0,48.591179835395195,-5.685102968765044,True,False,False,False,True,0.0
2025-02-27 19:00:00+00:00,113.44,113.51,111.14,111.77,25366.0,,,,,,,,,117.73306619877933,"rgba(239, 83, 80, 1.0)",6.535448729053735,117.73306619877933,-0.9124187865280247,4,0.5723300750987441,2.2893203003949765,0.0,0.0,0.0,0.0,45.32058818423286,-5.685102968765044,True,False,False,True,False,0.0
2025-02-27 20:00:00+00:00,111.84,111.84,110.67,110.685,43557.0,,,,,,,,,117.53714515582492,"rgba(239, 83, 80, 1.0)",6.642259189774526,117.53714515582492,-1.0315985811534574,4,0.5639499655696517,2.255799862278607,0.0,0.0,0.0,0.0,41.29102741719489,-4.321827261553764,True,False,False,True,False,0.0
2025-02-28 15:00:00+00:00,108.28,111.64,108.26,111.635,43935.0,,,,,,,,,116.50815727146478,"rgba(239, 83, 80, 1.0)",6.726322655021796,116.50815727146478,-0.7244905606522657,4,0.5574958748420739,2.2299834993682954,0.0,0.0,0.0,0.0,41.35342569593484,-4.321827261553764,True,False,False,True,False,0.0
2025-02-28 16:00:00+00:00,111.52,111.75,109.77,110.125,36626.0,,,,,,,,,116.40862328090313,"rgba(239, 83, 80, 1.0)",6.820471918363801,116.40862328090313,-0.9212886375185809,4,0.5492277097402622,2.196910838961049,0.0,0.0,0.0,0.0,38.893910217227905,-6.728282046594892,False,False,False,True,False,0.0
2025-02-28 17:00:00+00:00,110.21,110.46,109.115,109.115,24821.0,,,,,,,,,116.29518249920258,"rgba(239, 83, 80, 1.0)",6.9366442661906556,116.29518249920258,-1.0351089408172396,4,0.5398640388505609,2.1594561554022436,0.0,0.0,0.0,0.0,35.89734861991184,-9.574354520035982,False,False,False,True,False,0.0
2025-02-28 18:00:00+00:00,109.09,110.21,108.65,109.03,31051.0,,,,,,,,,116.16259681759968,"rgba(239, 83, 80, 1.0)",7.058385371602636,116.16259681759968,-1.010513940807994,4,0.5311978488493164,2.1247913953972657,0.0,0.0,0.0,0.0,33.78783392919384,-11.557736576804281,False,False,False,True,False,0.0
2025-02-28 19:00:00+00:00,109.12,110.17,108.85,110.0,20102.0,,,,,,,,,116.09991106108683,"rgba(239, 83, 80, 1.0)",7.15572985933789,116.09991106108683,-0.8524512776466446,4,0.5243549016377854,2.0974196065511417,0.0,0.0,0.0,0.0,35.33664806768674,-11.557736576804281,False,False,False,True,False,0.0
