date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_39,aVWAP_BoS_CHoCH_bull_74,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-03-24 00:00:00+00:00,9.755,9.77,9.755,9.77,412,9.74848044296243,,9.73596592935224,#000000,,9.73596592935224,,0,,,0.0,0.0,0.0,0.0,69.56856802838223,18.391287646918983,False,False,True,False,False,12.251684697296543
2022-03-25 00:00:00+00:00,9.77,9.77,9.77,9.77,1001,9.748537344885731,,9.736005288102191,#000000,,9.736005288102191,,0,,,0.0,0.0,0.0,0.0,69.1845397365991,18.391287646918983,True,False,True,False,False,16.81519293890917
2022-03-28 00:00:00+00:00,9.76,9.76,9.75,9.76,5000,9.748643315474563,,9.736111649752072,#000000,,9.736111649752072,,0,,,0.0,0.0,0.0,0.0,65.93003107794544,21.959514173292305,True,False,True,False,False,12.486844766425833
2022-03-29 00:00:00+00:00,9.765,9.765,9.76,9.765,2577,9.74874135240404,,9.736188673121353,#000000,,9.736188673121353,,0,,,0.0,0.0,0.0,0.0,64.6725448588616,20.692627558741577,True,False,True,False,False,13.955098001739366
2022-03-30 00:00:00+00:00,9.765,9.765,9.765,9.765,0,9.74874135240404,,9.736188673121353,#000000,,9.736188673121353,,0,,,0.0,0.0,0.0,0.0,63.8342207128057,19.750411186341665,True,False,True,False,False,13.955098001739366
2022-03-31 00:00:00+00:00,9.77,9.77,9.76,9.77,7089,9.749064502290004,,9.736428725431484,#000000,,9.736428725431484,,0,,,0.0,0.0,0.0,0.0,64.22699415971377,19.750411186341665,True,False,True,False,False,15.412346705398548
2022-04-01 00:00:00+00:00,9.78,9.78,9.76,9.76,53465,9.751969236274038,,9.73853206990199,#000000,,9.73853206990199,,0,,,0.0,0.0,0.0,0.0,66.14899035963812,19.750411186341665,True,False,True,False,False,18.18047245362553
2022-04-04 00:00:00+00:00,9.8,9.8,9.76,9.76,2567,9.752167490534498,,9.738667080664676,#000000,,9.738667080664676,,0,,,0.0,0.0,0.0,0.0,69.81571031552373,14.18974160016164,True,False,True,False,True,20.0
2022-04-05 00:00:00+00:00,9.785,9.8,9.785,9.8,2560,9.752381847094993,,9.738811067068486,#000000,,9.738811067068486,,0,,,0.0,0.0,0.0,0.0,68.03234987310387,14.18974160016164,True,False,True,False,True,17.003521232540784
2022-04-06 00:00:00+00:00,9.77,9.77,9.77,9.77,254,9.752391745875151,,9.73881920770463,#000000,,9.73881920770463,,0,,,0.0,0.0,0.0,0.0,63.55253114321126,19.44473850646854,True,False,True,False,False,11.516502399740226
